,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Vake,Didube,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-05-2020 04:21:44,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,31,нет,Тбилиси,0.3 гр,0.0105,3221,232,7000,,,,,,,,,,,,0.3 a-pvp white
1,1,12-05-2020 04:21:44,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0178,4310,387,11746,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,12-05-2020 04:21:44,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,3,нет,Тбилиси,0.5 гр,0.0061,1491,134,4063,55.0,True,,,,,,,,,,HQ Euro Hashish 0.5 g
3,3,12-05-2020 04:21:44,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,True,1,нет,Тбилиси,0.5 гр,0.003,732,66,1995,27.0,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,12-05-2020 04:21:44,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0145,3524,317,9603,130.0,,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
5,5,12-05-2020 04:21:44,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,3,нет,Тбилиси,1 гр,0.0066,1627,146,4432,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
6,6,12-05-2020 04:21:44,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0061,1491,134,4063,55.0,True,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
7,7,12-05-2020 04:21:44,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,2,нет,Тбилиси,1 гр,0.0335,8106,728,22088,299.0,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
8,8,12-05-2020 04:21:44,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0058,1410,127,3841,52.0,,,True,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 1G
9,9,12-05-2020 04:21:44,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0263,6506,584,17729,240.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
10,10,12-05-2020 04:21:44,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0907,24399,2192,66485,900.0,,,,,,,,,,,Metadon 1gr
11,11,12-05-2020 04:21:44,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,2 гр,0.01,2413,217,6575,89.0,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
12,12,12-05-2020 04:21:44,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0122,2982,268,8126,110.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
13,13,12-05-2020 04:21:44,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,True,1,нет,Тбилиси,2 гр,0.0111,2711,244,7387,100.0,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
14,14,12-05-2020 04:21:44,Tbilisi,4659482266,2g super Skunk top class buds.,,3,нет,Тбилиси,2 гр,0.0095,2304,207,6279,85.0,,,,True,,,,,,,2g super Skunk top class buds.
15,15,12-05-2020 04:21:44,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0078,1898,170,5171,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
16,16,12-05-2020 04:21:44,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,2,нет,Тбилиси,2 гр,0.0521,12742,1145,34720,470.0,,,,,,,,,,,Cocaine Pure VHQ 2 g
17,17,12-05-2020 04:21:44,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0526,13013,1169,35459,480.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
18,18,12-05-2020 04:21:44,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0094,2304,207,6279,85.0,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
19,19,12-05-2020 04:21:44,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,7,нет,Тбилиси,3 гр,0.0144,3524,317,9603,130.0,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
