,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
90,90,18-02-2020 15:58:48,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.273,191309,73530,6583,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
91,91,18-02-2020 15:58:48,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0494,31183,11985,1073,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
92,92,18-02-2020 15:58:48,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0816,52000,23928,1803,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
93,93,18-02-2020 15:58:48,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0399,25444,9779,876,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
94,94,18-02-2020 15:58:48,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.182,127540,49020,4389,2000.0,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
95,95,18-02-2020 15:58:48,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0801,51016,19608,1756,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
96,96,18-02-2020 15:58:48,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0363,25444,9779,876,399.0,,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
97,97,18-02-2020 15:58:48,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2227,141888,54535,4883,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
98,98,18-02-2020 15:58:48,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0302,19067,7328,656,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
99,99,18-02-2020 15:58:48,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0455,28696,11030,987,450.0,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
100,100,18-02-2020 15:59:29,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1805,114786,44118,3950,1800.0,,,,,,,,,,,Hybrid Skunk! 100 gr
101,101,18-02-2020 15:59:29,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2508,159425,61275,5486,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
102,102,18-02-2020 15:59:29,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0392,27421,10539,944,430.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
103,103,18-02-2020 15:59:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4614,293341,112746,10094,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
104,104,18-02-2020 15:59:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7523,478274,183825,16458,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
105,105,18-02-2020 15:59:29,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8526,542043,208335,18652,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
106,106,18-02-2020 15:59:29,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0182,12754,4902,439,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
107,107,18-02-2020 15:59:29,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0182,12754,4902,439,200.0,,,,,,,,,,,Trebuetsja Kur'er
108,108,18-02-2020 15:59:29,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0201,12754,4902,439,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
109,109,18-02-2020 15:59:29,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0251,15942,6128,549,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
110,110,18-02-2020 15:59:29,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5182,956547,367650,32916,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
111,111,18-02-2020 16:00:31,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,1,нет,Батуми,0.27 гр,0.023,14476,5564,498,227.0,,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
112,112,18-02-2020 16:00:31,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,4,10,Батуми,0.27 гр,0.023,14476,5564,498,227.0,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
113,113,18-02-2020 16:00:31,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.0182,12754,4902,439,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
114,114,18-02-2020 16:00:31,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0951,60581,23285,2085,950.0,,,,,,,,True,,,Hybrid Skunk! 50 gr
115,115,18-02-2020 16:00:31,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1803,114786,44118,3950,1800.0,,,,,,,,True,,,Hybrid Skunk! 100 gr
116,116,18-02-2020 16:00:31,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3035,191309,73530,6583,3000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
117,117,18-02-2020 16:00:31,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2529,159425,61275,5486,2500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
118,118,18-02-2020 16:00:31,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0101,6377,2451,219,100.0,,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
119,119,18-02-2020 16:00:31,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0046,3188,1226,110,50.0,,,,,,,,True,,,kur'er v Batumi
120,120,18-02-2020 16:00:31,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0046,3188,1226,110,50.0,,,,,,,,True,,,Vakansija Kur'era v Batumi
121,121,18-02-2020 16:00:31,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0071,5000,2301,173,,,,,,,,,True,,,Vakansija Kur'era v Batumi
122,122,18-02-2020 16:00:31,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0228,15942,6128,549,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
123,123,18-02-2020 16:00:31,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0228,15942,6128,549,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
124,124,18-02-2020 16:00:31,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5159,956547,367650,32916,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
125,125,18-02-2020 16:00:31,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0501,31885,12255,1097,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
126,126,18-02-2020 16:01:55,Kutaisi,d4df7908c3,"Шишки/weeds Afghan Kush, - 0,5г - Удобные клады в подъездах",,3,нет,Кутаиси,0.5 гр,0.0022,1403,539,48,22.0,,,,,,,,,,True,"Shishki/weeds Afghan Kush, - 0,5g - Udobnye klady v pod'ezdah"
127,127,18-02-2020 16:01:55,Kutaisi,d4df7908c3,"Шишки/weed Afghan Kush, 1г - Удобные клады в подъездах",,3,нет,Кутаиси,1 гр,0.004,2551,980,88,40.0,,,,,,,,,,True,"Shishki/weed Afghan Kush, 1g - Udobnye klady v pod'ezdah"
128,128,18-02-2020 16:01:55,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0081,5102,1961,176,80.0,,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
129,129,18-02-2020 16:01:55,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0112,7078,2721,244,111.0,,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
130,130,18-02-2020 16:01:55,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0101,6377,2451,219,100.0,,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
