,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,18-02-2020 15:57:18,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,1,нет,Тбилиси,0.8 гр,0.012,7652,2941,263,120.0,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
11,11,18-02-2020 15:57:18,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,1 гр,0.0041,2870,1103,99,45.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
12,12,18-02-2020 15:57:18,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,5,нет,Тбилиси,1 гр,0.012,7652,2941,263,120.0,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
13,13,18-02-2020 15:57:18,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,1,нет,Тбилиси,1 гр,0.009000000000000001,5739,2206,198,90.0,,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
14,14,18-02-2020 15:57:18,Tbilisi,21de5577be,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,9,нет,Тбилиси,1 гр,0.0045,2870,1103,99,45.0,True,,,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
15,15,18-02-2020 15:57:18,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,3,нет,Тбилиси,1 гр,0.0085,5420,2083,187,85.0,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
16,16,18-02-2020 15:57:18,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,2,нет,Тбилиси,1 гр,0.004,2615,1005,90,41.0,,True,,,,,,,,,1G -- AK-47 -> Sativa
17,17,18-02-2020 15:57:18,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0092,5873,2261,202,,,,85.0,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
18,18,18-02-2020 15:57:18,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,4,нет,Тбилиси,1 гр,0.0085,5420,2083,187,85.0,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
19,19,18-02-2020 15:57:18,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,5,нет,Тбилиси,1 гр,0.02,12626,4853,435,198.0,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
20,20,18-02-2020 15:57:18,Tbilisi,da96c34455,ALFA PVP in City 1g,True,4,нет,Тбилиси,1 гр,0.012,7652,2941,263,120.0,,,,,,,,,,,ALFA PVP in City 1g
21,21,18-02-2020 15:57:18,Tbilisi,2fdc22f2b2,HASH Mexicana 1 g SALE -10% for bitcoin.,True,1,нет,Тбилиси,1 гр,0.0064,4491,1729,155,,,,65.0,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
22,22,18-02-2020 15:57:18,Tbilisi,8219f5e7b8,Ketamine 1g,True,2,нет,Тбилиси,1 гр,0.0101,6377,2451,219,100.0,,,,,,,,,,,Ketamine 1g
23,23,18-02-2020 15:57:18,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,2,нет,Тбилиси,1 гр,0.004,2551,980,88,40.0,,,,,,,,,,,"LSD - 250 ug, 1piece"
24,24,18-02-2020 15:57:18,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0455,31885,12255,1097,500.0,,,,,,,,,,,Metadon VHQ 1 24/7
25,25,18-02-2020 15:57:18,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0191,12053,4632,415,189.0,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
26,26,18-02-2020 15:57:18,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,7,нет,Тбилиси,1 гр,0.0191,12690,4877,437,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
27,27,18-02-2020 15:57:18,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0168,11160,4289,384,175.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
28,28,18-02-2020 15:57:18,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0187,12053,4632,415,189.0,,,,,,,,,,,Kokain HQ 1g.
29,29,18-02-2020 15:57:18,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0179,11415,4387,393,179.0,,,,True,,,,,,,Kokain KOLUMBIA 1g
