,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,05-04-2020 04:59:28,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,True,3,нет,Тбилиси,0.2 гр,0.0045,2721,968,90,35.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,1,05-04-2020 04:59:28,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",,,2,нет,Тбилиси,0.25 гр,0.0238,13215,4701,437,170.0,True,,,,,,,,,"Metadon VHQ 0,25"
2,2,05-04-2020 04:59:28,Tbilisi,54915c4374,MDMA 0.380 грам.,,True,2,нет,Тбилиси,0.38 гр,0.006999999999999999,4275,1521,141,55.0,,True,,,,,,,,MDMA 0.380 gram.
3,3,05-04-2020 04:59:28,Tbilisi,8a650ecf5f,"A-PVP 0,5 g VHQ",,,1,нет,Тбилиси,0.5 гр,0.0161,8939,3180,296,115.0,,True,,,,,,,,"A-PVP 0,5 g VHQ"
4,4,05-04-2020 04:59:28,Tbilisi,83f3d55917,Afghan Kashmir 0.5 ! 27%THC топ товар!BTC 5 % SALE,,,1,нет,Тбилиси,0.5 гр,0.004,2332,830,77,30.0,,True,,,,,,,,Afghan Kashmir 0.5 ! 27%THC top tovar!BTC 5 % SALE
5,5,05-04-2020 04:59:28,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,,3,нет,Тбилиси,0.5 гр,0.0133,7696,2737,255,99.0,,True,,,,,,,,Cocaine Pure VHQ 0.5g
6,6,05-04-2020 04:59:28,Tbilisi,99accec7c7,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,True,,1,нет,Тбилиси,0.5 гр,0.042,23320,8295,772,300.0,,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
7,7,05-04-2020 04:59:28,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,,,8,нет,Тбилиси,0.5 гр,0.0105,5830,2074,193,75.0,,True,,,,,,,,MDMA 0.5gr ogromnye kamni!
8,8,05-04-2020 04:59:28,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,,,10,нет,Тбилиси,0.5 гр,0.0077,4275,1521,141,55.0,,True,,,,,,,,MEPHEDRONE 0.5 gr
9,9,05-04-2020 04:59:28,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,,2,нет,Тбилиси,0.5 гр,0.0161,9328,3318,309,120.0,,True,,,,,,,,Pure COCAINE VHQ 0.5g
10,10,05-04-2020 04:59:28,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,,,2,нет,Тбилиси,0.5 гр,0.0154,8473,3014,280,109.0,,True,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
11,11,05-04-2020 04:59:28,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.65 грамм",,,2,нет,Тбилиси,0.65 гр,0.0115,6996,2489,232,90.0,True,True,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.65 gramm"
