,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,10-06-2020 08:45:57,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,4,нет,Тбилиси,0.5 гр,0.0162,10919,4253,378,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,10-06-2020 08:45:57,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,4,нет,Тбилиси,0.5 гр,0.0032,2198,856,76,32,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
2,10-06-2020 08:45:57,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0132,8928,3478,309,130,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
3,10-06-2020 08:45:57,Tbilisi,GYO,Hakeem,"Remo Chemo , сорт чемпион ! Накуривает по-царски.На магните.Вес всегда больше 1 грамма.",True,2,нет,Тбилиси,1 гр,0.005,3777,1471,131,55,,,,,,,,,,,"Remo Chemo , sort chempion ! Nakurivaet po-tsarski.Na magnite.Ves vsegda bol'she 1 gramma."
4,10-06-2020 08:45:57,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,2,нет,Тбилиси,1 гр,0.005,3777,1471,131,55,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
5,10-06-2020 08:45:57,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,3,нет,Тбилиси,2 гр,0.0089,6043,2354,209,88,,,,,,,,,,,2gr HYBRID buds
6,10-06-2020 08:45:57,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,2,нет,Тбилиси,2 гр,0.0474,32277,12573,1118,470,,,,,,,,,,,Cocaine Pure VHQ 2 g
7,10-06-2020 08:45:57,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0086,5837,2274,202,85,,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
8,10-06-2020 08:45:57,Tbilisi,8B31,GEOWEEDSHOP,3 gr Indica dominant Buds,,7,нет,Тбилиси,3 гр,0.009,6112,2381,212,89,,,True,,,,,,,,3 gr Indica dominant Buds
9,10-06-2020 08:45:57,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,12,нет,Тбилиси,3 гр,0.0088,5975,2327,207,87,,,,,,,,,,,3 gr georgian weed. Package on magnet
