,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,21-07-2020 23:19:34,Tbilisi,9a9e3d4ee5,Metadon 0.3,True,2,нет,Тбилиси,0.3 гр,0.0257,17742,6988,600,250.0,,,,,,,,,,,Metadon 0.3
1,1,21-07-2020 23:19:34,Tbilisi,64284550d9,0.5-G ---> Pineapple (BTC - Sale),True,9,нет,Тбилиси,0.5 гр,0.0029,1987,783,67,28.0,,,,,,,,,,,0.5-G ---> Pineapple (BTC - Sale)
2,2,21-07-2020 23:19:34,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,,13,нет,Тбилиси,0.5 гр,0.0035,2413,950,82,34.0,True,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,3,21-07-2020 23:19:34,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,5,нет,Тбилиси,0.5 гр,0.0034,2342,922,79,33.0,True,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
4,4,21-07-2020 23:19:34,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,1 гр,0.0062,4258,1677,144,60.0,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,5,21-07-2020 23:19:34,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,1 гр,0.0061,4187,1649,142,59.0,,,,,,,,,,,1 G Hybrid Marijuana Buds
6,6,21-07-2020 23:19:34,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,1,нет,Тбилиси,1 гр,0.0062,4258,1677,144,60.0,True,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,21-07-2020 23:19:34,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,1 гр,0.0061,4187,1649,142,59.0,True,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
8,8,21-07-2020 23:19:34,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,1 гр,0.0061,4187,1649,142,59.0,True,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
9,9,21-07-2020 23:19:34,Tbilisi,4659482266,1 г.Super Skunk top class buds!,,6,нет,Тбилиси,1 гр,0.0058,3903,1537,132,55.0,,True,,,,,,,,,1 g.Super Skunk top class buds!
10,10,21-07-2020 23:19:34,Tbilisi,21de5577be,1.0 gr. Afghan kush (Indika),True,2,нет,Тбилиси,1 гр,0.0055,3761,1481,127,53.0,,,,,,,,,,,1.0 gr. Afghan kush (Indika)
11,11,21-07-2020 23:19:34,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,4,нет,Тбилиси,1 гр,0.0055,3761,1481,127,53.0,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
12,12,21-07-2020 23:19:34,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,3,нет,Тбилиси,1 гр,0.0062,4258,1677,144,60.0,True,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
13,13,21-07-2020 23:19:34,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,,2,нет,Тбилиси,1 гр,0.0052,3903,1537,132,55.0,True,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
14,14,21-07-2020 23:19:34,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,3,нет,Тбилиси,2 гр,0.0103,7026,2767,238,99.0,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
15,15,21-07-2020 23:19:34,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0113,7735,3047,262,109.0,,,,,,,,,,,2 G Hybrid Marijuana Buds
16,16,21-07-2020 23:19:34,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,5,нет,Тбилиси,2 гр,0.0125,8516,3354,288,120.0,True,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
