,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
25,25,20-05-2020 00:46:20,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0379,26713,9841,899,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
26,26,20-05-2020 00:46:20,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0595,41915,15442,1411,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
27,27,20-05-2020 00:46:20,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0407,28957,10668,975,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,28,20-05-2020 00:46:20,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0142,10135,3734,341,140.0,,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
29,29,20-05-2020 00:46:20,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.055999999999999994,39815,14669,1340,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,30,20-05-2020 00:46:20,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0239,17012,6267,573,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
31,31,20-05-2020 00:46:20,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0244,17374,6401,585,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,32,20-05-2020 00:46:20,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,9,Тбилиси,5 гр,0.0234,16650,6134,560,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
33,33,20-05-2020 00:46:20,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0162,11510,4241,387,159.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
34,34,20-05-2020 00:46:59,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0244,17374,6401,585,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
