,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Didube,Saburtalo,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,17-07-2020 09:09:44,Tbilisi,X4ZM,ZYX,NEW ! Silver Haze NEW ! VHQ BUDS 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0037,2493,963,84,35,,,,,,,,,,,,NEW ! Silver Haze NEW ! VHQ BUDS 0.5G
1,17-07-2020 09:09:44,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,13,нет,Тбилиси,1 гр,0.0063,4274,1650,144,60,True,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
2,17-07-2020 09:09:44,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,2,нет,Тбилиси,1 гр,0.0062,4203,1623,142,59,True,,,,,,,,,,,1 G Hybrid Marijuana Buds
3,17-07-2020 09:09:44,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,15,нет,Тбилиси,1 гр,0.0063,4274,1650,144,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
4,17-07-2020 09:09:44,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,3,нет,Тбилиси,1 гр,0.0062,4203,1623,142,59,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
5,17-07-2020 09:09:44,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,2,нет,Тбилиси,1 гр,0.0063,4274,1650,144,60,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
6,17-07-2020 09:09:44,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,14,нет,Тбилиси,1 гр,0.0062,4203,1623,142,59,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
7,17-07-2020 09:09:44,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),True,8,нет,Тбилиси,1 гр,0.0053,3562,1375,120,50,,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
8,17-07-2020 09:09:44,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,2,нет,Тбилиси,1 гр,0.0414,27709,10698,933,389,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
9,17-07-2020 09:09:44,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,1,нет,Тбилиси,1 гр,0.0063,4274,1650,144,60,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
