,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,02-04-2020 09:04:10,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,2,нет,Тбилиси,0.2 гр,0.0044,2721,982,91,35.0,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,1,02-04-2020 09:04:10,Tbilisi,dd631c4acf,.✨0.50 gram. MDMA✨.,,1,нет,Тбилиси,0.5 гр,0.0097,5364,1935,179,69.0,True,,,,,,,,.✨0.50 gram. MDMA✨.
2,2,02-04-2020 09:04:10,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0132,7696,2777,257,99.0,True,,,,,,,,Cocaine Pure VHQ 0.5g
3,3,02-04-2020 09:04:10,Tbilisi,8a650ecf5f,"Метадон VHQ 0,5",,1,нет,Тбилиси,0.5 гр,0.046,25652,9257,857,330.0,True,,,,,,,,"Metadon VHQ 0,5"
4,4,02-04-2020 09:04:10,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.0153,8473,3057,283,109.0,True,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
5,5,02-04-2020 09:04:10,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,19,нет,Тбилиси,1 гр,0.0076,4664,1683,156,60.0,True,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
6,6,02-04-2020 09:04:10,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.006999999999999999,3887,1403,130,50.0,True,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
7,7,02-04-2020 09:04:10,Tbilisi,e56bb6ca93,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,True,4,нет,Тбилиси,1 гр,0.0057,3187,1150,106,41.0,,,,,,,,,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
8,8,02-04-2020 09:04:10,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,10,нет,Тбилиси,1 гр,0.0053,2954,1066,99,38.0,True,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,9,02-04-2020 09:04:10,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.0253,14691,5301,491,189.0,True,,,,,,,,Cocaine Pure VHQ 1g
10,10,02-04-2020 09:04:10,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,7,нет,Тбилиси,1 гр,0.0209,11660,4208,390,150.0,,True,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
11,11,02-04-2020 09:04:10,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,True,1,нет,Тбилиси,1 гр,0.025,13914,5021,465,179.0,,,,,,,,,Kokain KOLUMBIA 1g
