,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,24-05-2020 19:00:42,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.0107,7188,2705,240,100,,,,,,,,,,,,,Iranian Sirec 0.25g.
1,24-05-2020 19:00:42,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,17,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29,True,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,24-05-2020 19:00:42,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,True,5,нет,Тбилиси,0.5 гр,0.0032,2156,812,72,30,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
3,24-05-2020 19:00:42,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,2,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29,,True,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
4,24-05-2020 19:00:42,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0878,64692,24345,2159,900,,,,,,,,,,,,,Metadon 1gr
5,24-05-2020 19:00:42,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0096,6397,2407,213,89,,,True,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
6,24-05-2020 19:00:42,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds.,,1,нет,Тбилиси,3 гр,0.0135,8985,3381,300,125,,,True,,,,,,,,,,3g superskunk top class buds.
7,24-05-2020 19:00:42,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0114,7547,2840,252,105,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
8,24-05-2020 19:00:42,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,3,нет,Тбилиси,5 гр,0.0149,9991,3760,333,139,,,,True,,,,,,,,,5 gr georgian weed. Package on magnet
9,24-05-2020 19:00:42,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,5 гр,0.015,10063,3787,336,140,,,,True,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
