,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
10,10,06-04-2020 18:01:25,Tbilisi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,2,нет,Тбилиси,1 гр,0.0137,7717,2767,260,101.0,True,,,,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
11,11,06-04-2020 18:01:25,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1112,68767,24660,2315,900.0,,,,,,,,,,,Metadon 1gr
12,12,06-04-2020 18:01:25,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,9,нет,Тбилиси,1 гр,0.0025,1528,548,51,20.0,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
13,13,06-04-2020 18:01:25,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,5,нет,Тбилиси,2 гр,0.0064,3591,1288,121,47.0,,,,,,,,,,,2gr Indica dominant Buds
14,14,06-04-2020 18:01:25,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0096,5349,1918,180,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
15,15,06-04-2020 18:01:25,Tbilisi,ae784bef73,New ! Big Buds ! 2G,True,4,нет,Тбилиси,2 гр,0.0079,4890,1754,165,64.0,,,,,,,,,,,New ! Big Buds ! 2G
16,16,06-04-2020 18:01:25,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,4,нет,Тбилиси,2 гр,0.0043,2674,959,90,35.0,True,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
17,17,06-04-2020 18:01:25,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,2 гр,0.0043,2674,959,90,35.0,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
18,18,06-04-2020 18:01:25,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0417,24450,8768,823,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,19,06-04-2020 18:01:25,Tbilisi,64284550d9,5G ---> ONLY BUDS,,6,нет,Тбилиси,5 гр,0.0129,7259,2603,244,95.0,True,,,,,,,,,,5G ---> ONLY BUDS
20,20,06-04-2020 18:01:25,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,1,нет,Тбилиси,5 гр,0.0182,10239,3672,345,134.0,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
21,21,06-04-2020 18:01:25,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.024,13371,4795,450,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
22,22,06-04-2020 18:01:25,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,1,нет,Тбилиси,5 гр,0.0093,5731,2055,193,75.0,,,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
23,23,06-04-2020 18:01:25,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,5 гр,0.0068,4202,1507,141,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
24,24,06-04-2020 18:01:25,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0542,30487,10933,1026,399.0,True,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
25,25,06-04-2020 18:01:25,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0496,27889,10001,939,365.0,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
26,26,06-04-2020 18:01:25,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),True,1,3,Тбилиси,10 гр,0.0134,8263,2960,278,,,,100.0,,,True,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
27,27,06-04-2020 18:01:25,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0522,30563,10960,1029,400.0,,,,,,,,,,,gashish evro 10g
28,28,06-04-2020 18:01:25,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1014,59369,21290,1999,777.0,,,,,,,,,,,Gashish Evro 20gr
29,29,06-04-2020 18:01:25,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2471,152815,54800,5144,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,30,06-04-2020 18:01:25,Tbilisi,f8a875c191,METADON - 0.25 G.,True,1,15,Тбилиси,0.25 гр,0.0233,12989,4658,437,170.0,,,,,,,,,,,METADON - 0.25 G.
31,31,06-04-2020 18:01:25,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 2 грамма (порошок),True,нет,1,Тбилиси,2 гр,0.02,12395,4440,417,,,,150.0,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 2 gramma (poroshok)
32,32,06-04-2020 18:02:25,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0275,15281,5480,514,200.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
33,33,06-04-2020 18:02:25,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0506,28194,10111,949,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
34,34,06-04-2020 18:02:25,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.081,45080,16166,1518,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
35,35,06-04-2020 18:02:25,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0544,30563,10960,1029,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
36,36,06-04-2020 18:02:25,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0217,12225,4384,412,160.0,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
37,37,06-04-2020 18:02:25,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0747,42024,15070,1415,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
38,38,06-04-2020 18:02:25,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.023,12913,4631,435,169.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
39,39,06-04-2020 18:02:25,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0231,12989,4658,437,170.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
40,40,06-04-2020 18:02:25,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.027000000000000003,15205,5453,512,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
41,41,06-04-2020 18:02:25,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,7,Тбилиси,5 гр,0.027000000000000003,15205,5453,512,199.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
42,42,06-04-2020 18:02:25,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0271,16733,6001,563,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
43,43,06-04-2020 18:02:25,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.027000000000000003,15205,5453,512,199.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
44,44,06-04-2020 18:02:25,Tbilisi,54915c4374,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0468,28922,10360,973,,,,350.0,,,,,,,,MDMA 5 gr!!!
45,45,06-04-2020 18:02:25,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,12,Тбилиси,5 гр,0.0247,15281,5480,514,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
46,46,06-04-2020 18:02:25,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3072,190000,87429,6381,,,,,,,,,,,,reagent 25i nbome. 5gr
47,47,06-04-2020 18:02:25,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3706,229222,82200,7717,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,48,06-04-2020 18:02:25,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1193,66398,23811,2235,869.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
49,49,06-04-2020 18:02:25,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0261,14517,5206,489,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
50,50,06-04-2020 18:02:25,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0671,37363,13399,1258,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
51,51,06-04-2020 18:02:25,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,1,5,Тбилиси,5 гр,0.0259,14441,5179,486,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
52,52,06-04-2020 18:02:25,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1223,68767,24660,2315,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
53,53,06-04-2020 18:02:25,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0951,53485,19180,1801,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,06-04-2020 18:02:25,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.0435,24450,8768,823,320.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,06-04-2020 18:02:25,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1087,61126,21920,2058,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,06-04-2020 18:02:25,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3023,170006,60965,5723,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
57,57,06-04-2020 18:02:25,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,8,Тбилиси,10 гр,0.1989,110714,39703,3727,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
58,58,06-04-2020 18:02:25,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0506,28194,10111,949,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
59,59,06-04-2020 18:02:25,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.040999999999999995,22846,8193,769,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
60,60,06-04-2020 18:02:25,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,8,Тбилиси,20 гр,0.055,30945,11097,1042,405.0,True,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
61,61,06-04-2020 18:02:25,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0822,45768,16413,1541,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
62,62,06-04-2020 18:02:25,Tbilisi,e56bb6ca93,50gr Georgian Indica dominant buds. The Best PRICE,True,нет,13,Тбилиси,50 гр,0.1358,76331,27373,2570,999.0,True,,,,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
63,63,06-04-2020 18:02:25,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1495,84048,30140,2829,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
64,64,06-04-2020 18:02:25,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3261,183378,65760,6173,2400.0,,,,,,,,,,,100 gr marijuana buds
65,65,06-04-2020 18:03:16,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3237,183378,65760,6173,2400.0,,,,,,,,,,,100 gr marijuana buds
66,66,06-04-2020 18:03:16,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2698,152815,54800,5144,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
67,67,06-04-2020 18:03:16,Tbilisi,f8a875c191,MARIXYANA - 100 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,100 гр,0.0136,7641,2740,257,100.0,,,,,,,,,,,MARIXYANA - 100 G. (SHISHKI) SALE 10% BTC
68,68,06-04-2020 18:03:16,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,1,1,Тбилиси,100 гр,0.2725,152815,54800,5144,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
69,69,06-04-2020 18:03:16,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3372,191019,68500,6431,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,70,06-04-2020 18:03:16,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6204,351474,126040,11832,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
71,71,06-04-2020 18:03:16,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0116,573056,205500,19292,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
72,72,06-04-2020 18:03:16,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1465,649463,232900,21864,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,73,06-04-2020 18:03:16,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0245,15281,5480,514,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
74,74,06-04-2020 18:03:16,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.027000000000000003,15281,5480,514,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,75,06-04-2020 18:03:16,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0337,19102,6850,643,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,76,06-04-2020 18:03:16,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0416,1146111,411000,38583,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,06-04-2020 18:04:37,Batumi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,1,нет,Батуми,1 гр,0.0136,7717,2767,260,101.0,,,,,,,,True,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
78,78,06-04-2020 18:04:37,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,5,нет,Батуми,2 гр,0.0047,2903,1041,98,38.0,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
79,79,06-04-2020 18:04:37,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2967,168096,60280,5659,2200.0,,,,,,,,,True,,[100g] SPAIN HASH
80,80,06-04-2020 18:04:37,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,13,Батуми,5 гр,0.0245,15281,5480,514,200.0,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
81,81,06-04-2020 18:04:37,Batumi,f8a875c191,MARIXYANA - 100 G. (SHISHKI) SALE 10% BTC,,нет,2,Батуми,100 гр,0.0136,7641,2740,257,100.0,,,,,,,,,True,,MARIXYANA - 100 G. (SHISHKI) SALE 10% BTC
82,82,06-04-2020 18:04:37,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2725,152815,54800,5144,2000.0,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
83,83,06-04-2020 18:04:37,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0123,7641,2740,257,100.0,,,,,,,,,True,,kur'er v Batumi
84,84,06-04-2020 18:04:37,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0307,19102,6850,643,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
85,85,06-04-2020 18:04:37,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0307,19102,6850,643,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
86,86,06-04-2020 18:04:37,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0368,22922,8220,772,300.0,,,,,,,,,True,,Rabota na marki (kur'er)
87,87,06-04-2020 18:04:37,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0416,1146111,411000,38583,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
88,88,06-04-2020 18:04:37,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0674,38204,13700,1286,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,89,06-04-2020 18:06:37,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,1 гр,0.0255,14594,5233,491,191.0,,,,,,,,,,True,Columbia Cocaine VHQ 1g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,90,06-04-2020 18:06:37,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,1.5 гр,0.0194,11079,3973,373,145.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
91,91,06-04-2020 18:06:37,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,2 гр,0.0487,27889,10001,939,365.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,92,06-04-2020 18:06:37,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.018000000000000002,10315,3699,347,135.0,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,93,06-04-2020 18:06:37,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0367,21012,7535,707,275.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
