,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,06-04-2020 18:01:25,Tbilisi,54915c4374,MDMA 0.4 грам.,True,4,нет,Тбилиси,0.4 гр,0.008,4966,1781,167,65.0,,,,,,,,,,,MDMA 0.4 gram.
1,1,06-04-2020 18:01:25,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,7,нет,Тбилиси,0.5 гр,0.0102,5731,2055,193,75.0,,,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
2,2,06-04-2020 18:01:25,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,True,7,нет,Тбилиси,0.5 гр,0.0075,4202,1507,141,55.0,,,,,,,,,,,MEPHEDRONE 0.5 gr
3,3,06-04-2020 18:01:25,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,2,нет,Тбилиси,0.5 гр,0.015,8328,2987,280,109.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
4,4,06-04-2020 18:01:25,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",True,1,нет,Тбилиси,0.6 гр,0.0111,6877,2466,232,90.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
5,5,06-04-2020 18:01:25,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,2,нет,Тбилиси,1 гр,0.0068,3820,1370,129,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,6,06-04-2020 18:01:25,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0816,45844,16440,1543,600.0,True,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
7,7,06-04-2020 18:01:25,Tbilisi,54915c4374,MDMA 1 гр,True,1,2,Тбилиси,1 гр,0.0134,8263,2960,278,,,True,100.0,,,,,,,,MDMA 1 gr
8,8,06-04-2020 18:01:25,Tbilisi,28bf667d16,MDMA Champagne - DutchMasters 1g,True,2,нет,Тбилиси,1 гр,0.015,8405,3014,283,110.0,,,,,,,,,,,MDMA Champagne - DutchMasters 1g
9,9,06-04-2020 18:01:25,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,4,нет,Тбилиси,1 гр,0.0952,53485,19180,1801,700.0,True,,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
