,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,19-03-2020 03:27:40,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,14,нет,Тбилиси,0.25 гр,0.0304,14670,5377,464,190,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,19-03-2020 03:27:40,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,,2,нет,Тбилиси,0.25 гр,0.0145,6949,2547,220,90,True,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,19-03-2020 03:27:40,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,,2,нет,Тбилиси,0.25 гр,0.0279,14670,5377,464,190,True,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,19-03-2020 03:27:40,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,18,нет,Тбилиси,0.5 гр,0.0116,5791,2123,183,75,,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
4,19-03-2020 03:27:40,Tbilisi,UJP9,420Inc,THC Snow Buds Only 0.5 G (THC 23+%),,1,нет,Тбилиси,0.5 гр,0.0048,2316,849,73,30,True,,,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
5,19-03-2020 03:27:40,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,2,нет,Тбилиси,1 гр,0.0081,3861,1415,122,50,True,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,19-03-2020 03:27:40,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,,7,нет,Тбилиси,1 гр,0.0194,9266,3396,293,120,True,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
7,19-03-2020 03:27:40,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),,5,нет,Тбилиси,1 гр,0.0186,9266,3396,293,120,True,,,,,,,,,,,1g MDMA (IMPORTED)
8,19-03-2020 03:27:40,Tbilisi,03F3,geoshop,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,1,нет,Тбилиси,1 гр,0.0129,6177,2264,195,80,True,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,19-03-2020 03:27:40,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,,5,нет,Тбилиси,1 гр,0.0074,3552,1302,112,46,True,,,,,,,,,,,Amsterdam weed sativa 1gr
10,19-03-2020 03:27:40,Tbilisi,V4T,COCAcoLA,COCAINE VHQ1gr СУПЕР COCA!!! SALE - BTC,True,3,нет,Тбилиси,1 гр,0.0323,15443,5660,488,200,,,,,,,,,,,,COCAINE VHQ1gr SUPER COCA!!! SALE - BTC
11,19-03-2020 03:27:40,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,1,нет,Тбилиси,1 гр,0.0807,42467,15565,1343,550,True,,,,,,,,,,,Metadon VHQ 1 24/7
12,19-03-2020 03:27:40,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 1G,,2,нет,Тбилиси,1 гр,0.0081,3861,1415,122,50,True,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
13,19-03-2020 03:27:40,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,,7,нет,Тбилиси,1 гр,0.0034,1776,651,56,23,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
14,19-03-2020 03:27:40,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1321,69492,25470,2197,900,True,,,,,,,,,,,Metadon 1gr
15,19-03-2020 03:27:40,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,1,нет,Тбилиси,1 гр,0.0029,1544,566,49,20,,True,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
16,19-03-2020 03:27:40,Tbilisi,9VLN,AlienShop,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,,1,нет,Тбилиси,1 гр,0.0113,5328,1953,168,69,True,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
17,19-03-2020 03:27:40,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,9,нет,Тбилиси,2 гр,0.0129,6177,2264,195,80,True,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
18,19-03-2020 03:27:40,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,10,нет,Тбилиси,2 гр,0.0111,5328,1953,168,69,True,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
19,19-03-2020 03:27:40,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,,4,нет,Тбилиси,2 гр,0.0128,6100,2236,193,79,True,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
20,19-03-2020 03:27:40,Tbilisi,ABOAB,ProGrow,2G ---> Plan,,31,нет,Тбилиси,2 гр,0.0048,2316,849,73,30,True,,,,,,,,,,,2G ---> Plan
21,19-03-2020 03:27:40,Tbilisi,7LHWP,GEOBUDS,2gr Marijuana Buds -INDICA-,True,1,нет,Тбилиси,2 гр,0.01,4787,1755,151,62,,,,,,,,,,,,2gr Marijuana Buds -INDICA-
22,19-03-2020 03:27:40,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,3,нет,Тбилиси,2 гр,0.0567,27411,10047,867,355,,,True,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
23,19-03-2020 03:27:40,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,5,нет,Тбилиси,2 гр,0.0051,2702,991,85,35,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
24,19-03-2020 03:27:40,Tbilisi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! !!BTC SALE 5%!! ПОДЪЕЗД!!!,,1,нет,Тбилиси,2 гр,0.0208,9960,3651,315,129,,,True,,,,,,,,,GAShISh tverdyj!!! Hash!!!! !!BTC SALE 5%!! POD'EZD!!!
25,19-03-2020 03:27:40,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),,1,нет,Тбилиси,3 гр,0.0392,19524,7107,617,,True,,,230,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
26,19-03-2020 03:27:40,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,3,нет,Тбилиси,3 гр,0.0171,8107,2972,256,105,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
