,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Gldani,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
40,40,06-06-2020 08:52:55,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0235,15785,6176,548,,True,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,41,06-06-2020 08:52:55,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0204,15030,5880,521,,True,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,42,06-06-2020 08:52:55,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0258,17158,6713,595,,True,250.0,,,,,,,,,,MARIXYANA - INDICA - 5 G.
43,43,06-06-2020 08:52:55,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.024,16129,6310,560,,True,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
44,44,06-06-2020 08:52:55,Tbilisi,54915c4374,Марки н-боооом!!! 5 шт.,,нет,9,Тбилиси,5 гр,0.0056,3775,1477,131,,True,55.0,,,,,,,,,,Marki n-boooom!!! 5 sht.
45,45,06-06-2020 08:52:55,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2573,190000,87429,6592,,True,,,,,,,,,,,reagent 25i nbome. 5gr
46,46,06-06-2020 08:52:55,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2788,205896,80550,7143,,,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
47,47,06-06-2020 08:52:55,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.099,65818,25749,2283,,True,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
48,48,06-06-2020 08:52:55,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0196,13040,5102,452,,True,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
49,49,06-06-2020 08:52:55,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0505,33561,13130,1164,,True,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
50,50,06-06-2020 08:52:55,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0206,13726,5370,476,,True,200.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
51,51,06-06-2020 08:52:55,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.092,61769,24165,2143,,True,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,52,06-06-2020 08:52:55,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0409,27453,10740,952,,True,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,53,06-06-2020 08:52:55,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0716,48042,18795,1667,,True,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,06-06-2020 08:52:55,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0429,28825,11277,1000,,True,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
