,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
0,0,25-07-2020 01:12:49,Tbilisi,be97026d1d,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,2,нет,Тбилиси,0.5 гр,0.0068,4820,1879,160,58.0,,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,1,25-07-2020 01:12:49,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,8,нет,Тбилиси,0.5 гр,0.0035,2363,922,79,,True,33.0,,,,,,,,,0.5 gr HYBRID buds
2,2,25-07-2020 01:12:49,Tbilisi,ebadfc162f,Gorilla Glue 0.5G Super strong weed LIMITED,,6,нет,Тбилиси,0.5 гр,0.0036,2506,978,84,,True,35.0,True,,,,,,,,Gorilla Glue 0.5G Super strong weed LIMITED
3,3,25-07-2020 01:12:49,Tbilisi,ebadfc162f,The Best Weed In Your Life Is Back 0.5G,,4,нет,Тбилиси,0.5 гр,0.0038,2649,1034,88,,True,37.0,True,,,,,,,,The Best Weed In Your Life Is Back 0.5G
4,4,25-07-2020 01:12:49,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,7,нет,Тбилиси,0.5 гр,0.0034,2363,922,79,,True,33.0,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
5,5,25-07-2020 01:12:49,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,2,нет,Тбилиси,1 гр,0.0061,4224,1649,141,,,59.0,,True,,,,,,,1 G Hybrid Marijuana Buds
6,6,25-07-2020 01:12:49,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,6,нет,Тбилиси,1 гр,0.0062,4296,1677,143,,True,60.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,25-07-2020 01:12:49,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,5,нет,Тбилиси,1 гр,0.0062,4296,1677,143,,True,60.0,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,25-07-2020 01:12:49,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,1 гр,0.0061,4224,1649,141,,True,59.0,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,9,25-07-2020 01:12:49,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,4,нет,Тбилиси,1 гр,0.0061,4224,1649,141,,True,59.0,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
10,10,25-07-2020 01:12:49,Tbilisi,21de5577be,1.0 gr. Afghan kush (Indika),True,1,нет,Тбилиси,1 гр,0.0055,3795,1481,126,,,53.0,,,,,,,,,1.0 gr. Afghan kush (Indika)
11,11,25-07-2020 01:12:49,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,1,нет,Тбилиси,1 гр,0.0055,3795,1481,126,,,53.0,,,,,,,,,1G ---> Big Devil (BTC - Sale)
12,12,25-07-2020 01:12:49,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,1,нет,Тбилиси,1 гр,0.0062,4296,1677,143,,True,60.0,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
13,13,25-07-2020 01:12:49,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,7,нет,Тбилиси,1 гр,0.0051,3508,1370,117,,True,49.0,,,,,,,,,1gr HYBRID o.g
14,14,25-07-2020 01:12:49,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,1 гр,0.0051,3508,1370,117,,True,49.0,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
15,15,25-07-2020 01:12:49,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,,2,нет,Тбилиси,1 гр,0.0052,3938,1537,131,,True,55.0,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
16,16,25-07-2020 01:12:49,Tbilisi,f374062dcd,Сирец Иран 1гр,,6,нет,Тбилиси,1 гр,0.0245,18615,7267,620,,True,260.0,,,,,,,,,Sirets Iran 1gr
17,17,25-07-2020 01:12:49,Tbilisi,f25c0d6c5c,Шишка добрая 1 g,,23,нет,Тбилиси,1 гр,0.0051,3600,1657,121,,True,,,,,,,,,,Shishka dobraja 1 g
18,18,25-07-2020 01:12:49,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,2 гр,0.0103,7088,2767,236,,,99.0,,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
19,19,25-07-2020 01:12:49,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,3,нет,Тбилиси,2 гр,0.0113,7804,3047,260,,,109.0,,True,,,,,,,2 G Hybrid Marijuana Buds
20,20,25-07-2020 01:12:49,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0124,8592,3354,286,,True,120.0,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
21,21,25-07-2020 01:12:49,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,1,нет,Тбилиси,2 гр,0.0124,8592,3354,286,,True,120.0,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
22,22,25-07-2020 01:12:49,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,2 гр,0.0114,7876,3075,262,,True,110.0,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
23,23,25-07-2020 01:12:49,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,2 гр,0.0104,7160,2795,239,,True,100.0,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
24,24,25-07-2020 01:12:49,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,4,нет,Тбилиси,2 гр,0.0124,8592,3354,286,,True,120.0,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
25,25,25-07-2020 01:12:49,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),True,2,нет,Тбилиси,3 гр,0.0155,10740,4193,358,,,150.0,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
26,26,25-07-2020 01:12:49,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm (special price),,4,нет,Тбилиси,3 гр,0.0108,8234,3214,274,,True,115.0,,,,,,,,,Northern Lights Regular [budsonly] 3gramm (special price)
27,27,25-07-2020 01:12:49,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.028999999999999998,20047,7826,668,,True,280.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
