,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,11-05-2020 18:50:14,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,8,нет,Тбилиси,0.5 гр,0.0174,11746,4310,388,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,11-05-2020 18:50:14,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,3,нет,Тбилиси,0.5 гр,0.006,4063,1491,134,55,True,,,,,,,,,HQ Euro Hashish 0.5 g
2,11-05-2020 18:50:14,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,3,нет,Тбилиси,0.5 гр,0.0029,1995,732,66,27,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,11-05-2020 18:50:14,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0065,4432,1627,146,60,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
4,11-05-2020 18:50:14,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,1 гр,0.006,4063,1491,134,55,True,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
5,11-05-2020 18:50:14,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,1 гр,0.0062,4211,1545,139,57,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
6,11-05-2020 18:50:14,Tbilisi,X4ZM,ZYX,NEW ! Silver Haze NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0056,3841,1410,127,52,,True,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 1G
7,11-05-2020 18:50:14,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0888,66485,24399,2197,900,,,,,,,,,,Metadon 1gr
8,11-05-2020 18:50:14,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,2 гр,0.0098,6575,2413,217,89,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
9,11-05-2020 18:50:14,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,3,нет,Тбилиси,2 гр,0.0119,8126,2982,269,110,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
10,11-05-2020 18:50:14,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,2 гр,0.0109,7387,2711,244,100,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
11,11-05-2020 18:50:14,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds.,,3,нет,Тбилиси,2 гр,0.0093,6279,2304,208,85,,,True,,,,,,,2g super Skunk top class buds.
12,11-05-2020 18:50:14,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0077,5171,1898,171,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
13,11-05-2020 18:50:14,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0092,6279,2304,208,85,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
14,11-05-2020 18:50:14,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,3 гр,0.013,8791,3226,291,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
15,11-05-2020 18:50:14,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,7,нет,Тбилиси,3 гр,0.0141,9603,3524,317,130,,,,,,,,,,3 G Hybrid Marijuana Big Buds
16,11-05-2020 18:50:14,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds.,,3,нет,Тбилиси,3 гр,0.013,8791,3226,291,119,,,True,,,,,,,3g superskunk top class buds.
17,11-05-2020 18:50:14,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0115,7757,2847,256,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
18,11-05-2020 18:50:14,Tbilisi,V76M,Endorphin,Suboxene 4mg,True,1,нет,Тбилиси,4 гр,0.0057,4063,1491,134,55,,,,,,,,,,Suboxene 4mg
19,11-05-2020 18:50:14,Tbilisi,BB6E,WEEDSH0P,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,3,нет,Тбилиси,5 гр,0.0064,4358,1599,144,59,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
20,11-05-2020 18:50:14,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0129,8791,3226,291,119,,,,True,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
21,11-05-2020 18:50:14,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0192,12928,4744,427,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
22,11-05-2020 18:50:14,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,11,нет,Тбилиси,10 гр,0.0216,14701,5395,486,199,,,,True,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
23,11-05-2020 18:50:14,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0416,29549,10844,977,400,,,,,,,,,,gashish evro 10g
24,11-05-2020 18:50:14,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,5,нет,Тбилиси,20 гр,0.0411,27998,10275,925,379,,,,True,,,,,,20 gr Indica marijuana buds (hight quality)
25,11-05-2020 18:50:14,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0809,57399,21064,1897,777,,,,,,,,,,Gashish Evro 20gr
26,11-05-2020 18:50:14,Tbilisi,8B31,GEOWEEDSHOP,50 гр Марихуана шишки. ИНДИКА,,4,нет,Тбилиси,50 гр,0.0921,62718,23016,2073,849,True,True,,,,,,,,50 gr Marihuana shishki. INDIKA
