,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Saburtalo,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
12,28-04-2020 03:39:14,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,4,нет,Тбилиси,5 гр,0.0374,22349,8205,739,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
13,28-04-2020 03:39:14,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,5,нет,Тбилиси,10 гр,0.0263,15570,5716,515,209,,True,,,,,,,,,10 gr marijuana buds. -indica-
14,28-04-2020 03:39:14,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0484,29798,10940,985,400,,,,,,,,,,,gashish evro 10g
15,28-04-2020 03:39:14,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,3,нет,Тбилиси,20 гр,0.051,30171,11077,998,405,,True,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
16,28-04-2020 03:39:14,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.094,57883,21251,1914,777,,,,,,,,,,,Gashish Evro 20gr
17,28-04-2020 03:39:14,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2291,148992,54700,4926,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
18,28-04-2020 03:39:14,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",True,нет,1,Тбилиси,0.5 гр,0.0095,5587,2051,185,75,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
19,28-04-2020 03:39:14,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",True,нет,2,Тбилиси,0.7 гр,0.0113,6705,2462,222,90,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
20,28-04-2020 03:39:14,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,3,Тбилиси,1 гр,0.017,10057,3692,333,135,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
21,28-04-2020 03:39:14,Tbilisi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.041,26651,9768,874,,,,,,330,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
