,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
19,19,28-04-2020 16:58:44,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 2.5 грамм",,нет,1,Тбилиси,2.5 гр,0.0285,16778,6131,554,225.0,True,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 2.5 gramm"
20,20,28-04-2020 16:58:44,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.07400000000000001,43176,15778,1426,579.0,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
21,21,28-04-2020 16:58:44,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0506,29828,10900,985,400.0,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
22,22,28-04-2020 16:58:44,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0696,41014,14988,1355,550.0,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
23,23,28-04-2020 16:58:44,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,4,Тбилиси,5 гр,0.0215,12677,4633,419,170.0,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
24,24,28-04-2020 16:58:44,Tbilisi,8ddca45a78,5g WEED MIX / выбери свои сорта,,нет,2,Тбилиси,5 гр,0.0276,16256,5941,537,218.0,True,,,,,,,,5g WEED MIX / vyberi svoi sorta
25,25,28-04-2020 16:58:44,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0252,14840,5423,490,199.0,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
26,26,28-04-2020 16:58:44,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0252,14840,5423,490,199.0,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
27,27,28-04-2020 16:58:44,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0252,16331,5968,539,219.0,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
28,28,28-04-2020 16:58:44,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0252,14840,5423,490,199.0,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
29,29,28-04-2020 16:58:44,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.293,190000,87429,6265,,True,,,,,,,,reagent 25i nbome. 5gr
30,30,28-04-2020 16:58:44,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.345,223712,81750,7389,3000.0,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
31,31,28-04-2020 16:58:44,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,10,Тбилиси,5 гр,0.1225,71513,26133,2362,959.0,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
32,32,28-04-2020 16:58:44,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,5,Тбилиси,5 гр,0.0241,14094,5150,466,189.0,True,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
33,33,28-04-2020 16:58:44,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0243,14168,5178,468,190.0,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
34,34,28-04-2020 16:59:35,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0242,14094,5150,466,189.0,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
35,35,28-04-2020 16:59:35,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,3,Тбилиси,10 гр,0.0139,8203,2998,271,110.0,True,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
36,36,28-04-2020 16:59:35,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.114,67114,24525,2217,900.0,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
37,37,28-04-2020 16:59:35,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0887,52199,19075,1724,700.0,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
38,38,28-04-2020 16:59:35,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0405,23863,8720,788,320.0,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
39,39,28-04-2020 16:59:35,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.1013,59656,21800,1970,800.0,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
40,40,28-04-2020 16:59:35,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2818,165920,60631,5480,2225.0,True,,,,,,,,Amfetamin [White] [Import] 10G
41,41,28-04-2020 16:59:35,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.1994,116256,42483,3840,1559.0,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
42,42,28-04-2020 16:59:35,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0472,27517,10055,909,369.0,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
