,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,Дигоми,Vazisubani,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
0,0,07-05-2020 22:28:42,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,True,1,нет,Тбилиси,0.5 гр,0.0027,2001,729,66,27.0,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
1,1,07-05-2020 22:28:42,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,5,нет,Тбилиси,0.5 гр,0.0132,9635,3510,319,130.0,True,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
2,2,07-05-2020 22:28:42,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,5,нет,Тбилиси,1 гр,0.0055,4076,1485,135,55.0,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
3,3,07-05-2020 22:28:42,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,4,нет,Тбилиси,1 гр,0.0057,4225,1539,140,57.0,True,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,4,07-05-2020 22:28:42,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,5,нет,Тбилиси,1 гр,0.0055,4076,1485,135,55.0,True,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
5,5,07-05-2020 22:28:42,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,9,нет,Тбилиси,1 гр,0.0304,22161,8073,733,299.0,True,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
6,6,07-05-2020 22:28:42,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,2,нет,Тбилиси,1 гр,0.0237,17417,6345,576,235.0,True,,,,,,,,,,,Cocaine Pure VHQ 1g
7,7,07-05-2020 22:28:42,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,1,нет,Тбилиси,1 гр,0.0239,17788,6480,589,240.0,True,,,,,,,,,,,VHQ BEST Cocaine 1g.
8,8,07-05-2020 22:28:42,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,,1,нет,Тбилиси,1 гр,0.0041,3039,1107,101,41.0,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
9,9,07-05-2020 22:28:42,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0824,66705,24300,2207,900.0,True,,,,,,,,,,,Metadon 1gr
10,10,07-05-2020 22:28:42,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,True,2,нет,Тбилиси,1 гр,0.0243,17714,6453,586,239.0,,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
11,11,07-05-2020 22:28:42,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,,2,нет,Тбилиси,2 гр,0.0091,6596,2403,218,89.0,True,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
12,12,07-05-2020 22:28:42,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,7,нет,Тбилиси,2 гр,0.0101,7412,2700,245,100.0,True,,,,,,,,,,,2 G Hybrid Marijuana Buds
13,13,07-05-2020 22:28:42,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,2 гр,0.0091,7338,2673,243,99.0,True,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
14,14,07-05-2020 22:28:42,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,4,нет,Тбилиси,2 гр,0.0091,6596,2403,218,89.0,True,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
15,15,07-05-2020 22:28:42,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,2 гр,0.0071,5188,1890,172,70.0,True,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
16,16,07-05-2020 22:28:42,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,2 гр,0.009000000000000001,6596,2403,218,89.0,,True,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
17,17,07-05-2020 22:28:42,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,2,нет,Тбилиси,3 гр,0.0121,8820,3213,292,119.0,True,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
18,18,07-05-2020 22:28:42,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,,1,нет,Тбилиси,3 гр,0.0131,9635,3510,319,130.0,True,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
19,19,07-05-2020 22:28:42,Tbilisi,7c395c455d,3 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,3 гр,0.0127,10302,3753,341,139.0,True,,,,,,,,,,,3 marijuana BUDS northen lights 24% THC ShIShKI!!!
20,20,07-05-2020 22:28:42,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,6,нет,Тбилиси,3 гр,0.0107,7782,2835,258,105.0,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
21,21,07-05-2020 22:28:42,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 3g (TOP)(VHQ),,4,нет,Тбилиси,3 гр,0.0116,8523,3105,282,115.0,True,,,,,,,,,,,THE BEST GAGARIN WEED 3g (TOP)(VHQ)
22,22,07-05-2020 22:28:42,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0309,23717,8640,785,320.0,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
23,23,07-05-2020 22:28:42,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0299,22235,8100,736,300.0,True,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
24,24,07-05-2020 22:28:42,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,5 гр,0.012,8820,3213,292,119.0,,,,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
25,25,07-05-2020 22:28:42,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,5 гр,0.0178,12970,4725,429,175.0,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
26,26,07-05-2020 22:28:42,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,10 гр,0.02,14749,5373,488,199.0,,,,True,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
27,27,07-05-2020 22:28:42,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",True,1,нет,Тбилиси,10 гр,0.0402,29573,10773,979,399.0,,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
28,28,07-05-2020 22:28:42,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,,1,нет,Тбилиси,10 гр,0.0332,24459,8910,809,330.0,True,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
29,29,07-05-2020 22:28:42,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 10g (TOP)(VHQ),,4,нет,Тбилиси,10 гр,0.0332,24459,8910,809,330.0,True,,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ)
30,30,07-05-2020 22:28:42,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0387,29647,10800,981,400.0,True,,,,,,,,,,,gashish evro 10g
31,31,07-05-2020 22:28:42,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,2,нет,Тбилиси,20 гр,0.0382,28090,10233,930,379.0,,,True,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
32,32,07-05-2020 22:28:42,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0751,57589,20979,1906,777.0,True,,,,,,,,,,,Gashish Evro 20gr
33,33,07-05-2020 22:28:42,Tbilisi,e56bb6ca93,50 гр Марихуана шишки. ИНДИКА,True,2,нет,Тбилиси,50 гр,0.0855,62925,22923,2082,849.0,,,,,,,,,,,,50 gr Marihuana shishki. INDIKA
34,34,07-05-2020 22:28:42,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1831,148234,54000,4905,2000.0,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,35,07-05-2020 22:28:42,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,True,1,нет,Тбилиси,100 гр,0.1661,122219,44523,4045,1649.0,,,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
36,36,07-05-2020 22:29:12,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",,нет,3,Тбилиси,0.7 гр,0.0106,7782,2835,258,105.0,True,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
37,37,07-05-2020 22:29:12,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",,нет,6,Тбилиси,1 гр,0.0162,11859,4320,392,160.0,True,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
