,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Vake,Gldani,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,31-03-2020 11:10:39,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,4,нет,Тбилиси,0.25 гр,0.0266,14769,5398,494,190.0,,,,,,,,,,,"Metadon VHQ 0,25"
1,1,31-03-2020 11:10:39,Tbilisi,8a650ecf5f,"A-PVP 0,5 g VHQ",,3,нет,Тбилиси,0.5 гр,0.0161,8939,3267,299,115.0,True,,,,,,,,,,"A-PVP 0,5 g VHQ"
2,2,31-03-2020 11:10:39,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0133,7696,2813,258,99.0,True,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,3,31-03-2020 11:10:39,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,14,нет,Тбилиси,1 гр,0.0077,4664,1705,156,60.0,True,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,31-03-2020 11:10:39,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.006999999999999999,3887,1421,130,50.0,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,5,31-03-2020 11:10:39,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,11,нет,Тбилиси,1 гр,0.0053,2954,1080,99,38.0,True,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
6,6,31-03-2020 11:10:39,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,1,нет,Тбилиси,1 гр,0.0254,14691,5369,492,189.0,True,,,,,,,,,,Cocaine Pure VHQ 1g
7,7,31-03-2020 11:10:39,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,1,нет,Тбилиси,1 гр,0.0052,3187,1165,107,41.0,True,,,,,,,,,,Hybrid Ana-sha 1G.
8,8,31-03-2020 11:10:39,Tbilisi,22610cd7c4,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",,8,нет,Тбилиси,1 гр,0.006,3343,1222,112,43.0,True,,,,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
9,9,31-03-2020 11:10:39,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,7,нет,Тбилиси,1 гр,0.021,11660,4262,390,150.0,,True,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
10,10,31-03-2020 11:10:39,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0251,13914,5085,466,179.0,,,True,,,,,,,,Kokain KOLUMBIA 1g
11,11,31-03-2020 11:10:39,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1148,69959,25569,2342,900.0,True,,,,,,,,,,Metadon 1gr
12,12,31-03-2020 11:10:39,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,2 гр,0.0105,5830,2131,195,75.0,True,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
13,13,31-03-2020 11:10:39,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0097,5364,1960,180,69.0,True,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
14,14,31-03-2020 11:10:39,Tbilisi,bb1791277e,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,4,нет,Тбилиси,2 гр,0.0119,6607,2415,221,85.0,True,,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
15,15,31-03-2020 11:10:39,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,4,нет,Тбилиси,2 гр,0.0097,5364,1960,180,69.0,True,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
16,16,31-03-2020 11:10:39,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.0112,6141,2244,206,79.0,,,,True,,,,,,,2g super Skunk top class buds. Indica
17,17,31-03-2020 11:10:39,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,6,нет,Тбилиси,2 гр,0.0459,27984,10228,937,360.0,True,,,,,,,,,,Cocaine Pure VHQ 2 g
18,18,31-03-2020 11:10:39,Tbilisi,ae784bef73,Gorilla Glue! 2G ! NEW ! BUDS !,,2,нет,Тбилиси,2 гр,0.0105,5830,2131,195,75.0,True,,,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
19,19,31-03-2020 11:10:39,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,5,нет,Тбилиси,2 гр,0.0045,2721,994,91,35.0,True,True,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
20,20,31-03-2020 11:10:39,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0154,8473,3097,284,109.0,True,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
21,21,31-03-2020 11:10:39,Tbilisi,4be7861731,metadon hydrochloride 4г,,1,нет,Тбилиси,4 гр,0.0077,4275,1563,143,55.0,,True,,,,,,,,,metadon hydrochloride 4g
22,22,31-03-2020 11:10:39,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0408,24874,9091,833,320.0,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
23,23,31-03-2020 11:10:39,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0231,12826,4688,429,165.0,True,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
24,24,31-03-2020 11:10:39,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0341,19720,7211,662,,True,,,,230.0,,,,,,5 gr mdma (skidka v bitkoin 5%)
