,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,31-05-2020 06:58:11,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,3,нет,Тбилиси,0.25 гр,0.0104,7075,2705,241,100,,,,,,,,,,Iranian Sirec 0.25g.
1,31-05-2020 06:58:11,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0167,11250,4301,383,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,31-05-2020 06:58:11,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.5G A+++,,2,нет,Тбилиси,0.5 гр,0.0068,4599,1758,157,65,True,,,,,,,,,VHQ MDMA Champagne Imported 0.5G A+++
3,31-05-2020 06:58:11,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,1,нет,Тбилиси,0.5 гр,0.003,2052,784,70,29,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
4,31-05-2020 06:58:11,Tbilisi,SF03,CRAZYFROG,1 г марихуана шишки VHQ индика THC 20%,,1,нет,Тбилиси,1 гр,0.0041,2759,1055,94,39,True,,,,,,,,,1 g marihuana shishki VHQ indika THC 20%
5,31-05-2020 06:58:11,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,4,нет,Тбилиси,1 гр,0.0315,21155,8088,721,299,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
6,31-05-2020 06:58:11,Tbilisi,X4ZM,ZYX,NEW ! White Shark ! BUDS ! 1G,True,1,нет,Тбилиси,1 гр,0.0047,3184,1217,108,45,,,,,,,,,,NEW ! White Shark ! BUDS ! 1G
7,31-05-2020 06:58:11,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0853,63677,24345,2169,900,,,,,,,,,,Metadon 1gr
8,31-05-2020 06:58:11,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,2 гр,0.0094,6297,2407,214,89,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
9,31-05-2020 06:58:11,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,2 гр,0.0093,6297,2407,214,89,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
