,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,31-03-2020 15:47:45,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,7,нет,Тбилиси,0.2 гр,0.0046,2721,982,91,35.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,1,31-03-2020 15:47:45,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",,1,нет,Тбилиси,0.25 гр,0.0272,14769,5330,494,190.0,True,,,,,,,,,,"Metadon VHQ 0,25"
2,2,31-03-2020 15:47:45,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.0158,8473,3057,284,109.0,True,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
3,3,31-03-2020 15:47:45,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",True,2,нет,Тбилиси,0.7 гр,0.0117,6996,2525,234,90.0,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
4,4,31-03-2020 15:47:45,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,14,нет,Тбилиси,1 гр,0.0078,4664,1683,156,60.0,True,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,5,31-03-2020 15:47:45,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0072,3887,1403,130,50.0,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,6,31-03-2020 15:47:45,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,11,нет,Тбилиси,1 гр,0.0054,2954,1066,99,38.0,True,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
7,7,31-03-2020 15:47:45,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,,2,нет,Тбилиси,1 гр,0.0286,15547,5610,520,200.0,True,,,,,,,,,,Apvp VHQ 1g 24/7
8,8,31-03-2020 15:47:45,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,6,нет,Тбилиси,1 гр,0.0259,14691,5301,492,189.0,True,,,,,,,,,,Cocaine Pure VHQ 1g
9,9,31-03-2020 15:47:45,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,2,нет,Тбилиси,1 гр,0.0787,42753,15428,1431,550.0,True,,,,,,,,,,Metadon VHQ 1 24/7
10,10,31-03-2020 15:47:45,Tbilisi,22610cd7c4,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",,4,нет,Тбилиси,1 гр,0.0062,3343,1206,112,43.0,True,,,,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
11,11,31-03-2020 15:47:45,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,7,нет,Тбилиси,1 гр,0.0215,11660,4208,390,150.0,,True,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
12,12,31-03-2020 15:47:45,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,True,2,нет,Тбилиси,1 гр,0.0256,13914,5021,466,179.0,,,,,,,,,,,Kokain KOLUMBIA 1g
13,13,31-03-2020 15:47:45,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1171,69959,25245,2342,900.0,True,,,,,,,,,,Metadon 1gr
14,14,31-03-2020 15:47:45,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,2 гр,0.0107,5830,2104,195,75.0,True,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
15,15,31-03-2020 15:47:45,Tbilisi,bb1791277e,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,2,нет,Тбилиси,2 гр,0.0122,6607,2384,221,85.0,True,,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
16,16,31-03-2020 15:47:45,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,1,нет,Тбилиси,2 гр,0.0099,5364,1935,180,69.0,True,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
17,17,31-03-2020 15:47:45,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0114,6141,2216,206,79.0,,,True,,,,,,,,2g super Skunk top class buds. Indica
18,18,31-03-2020 15:47:45,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,6,нет,Тбилиси,2 гр,0.0468,27984,10098,937,360.0,True,,,,,,,,,,Cocaine Pure VHQ 2 g
19,19,31-03-2020 15:47:45,Tbilisi,ae784bef73,Gorilla Glue! 2G ! NEW ! BUDS !,,2,нет,Тбилиси,2 гр,0.0107,5830,2104,195,75.0,True,,,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
20,20,31-03-2020 15:47:45,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!! (в упаковке одна бумага которую вы можете сами ножницей поднлить так как вы считайте нужным! или же если вы старец и имейте большой опыт можно целую,,4,нет,Тбилиси,2 гр,0.0046,2721,982,91,35.0,True,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!! (v upakovke odna bumaga kotoruju vy mozhete sami nozhnitsej podnlit' tak kak vy schitajte nuzhnym! ili zhe esli vy starets i imejte bol'shoj opyt mozhno tseluju
21,21,31-03-2020 15:47:45,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,5,нет,Тбилиси,2 гр,0.0046,2721,982,91,35.0,True,True,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
22,22,31-03-2020 15:47:45,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0158,8473,3057,284,109.0,True,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
23,23,31-03-2020 15:47:45,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0416,24874,8976,833,320.0,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,24,31-03-2020 15:47:45,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0348,19720,7107,662,,True,,,230.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
25,25,31-03-2020 15:47:45,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,1,нет,Тбилиси,5 гр,0.0242,13137,4740,440,169.0,True,,,,,,,,,,5gr Stardawg Auto WEED BUDS
26,26,31-03-2020 15:47:45,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0253,13603,4909,455,175.0,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
27,27,31-03-2020 15:47:45,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,,2,нет,Тбилиси,5 гр,0.1039,62108,22412,2079,799.0,True,,,,,,,,,,Cocaine Pure VHQ 5g.
28,28,31-03-2020 15:47:45,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,2,нет,Тбилиси,10 гр,0.0342,18578,6704,622,239.0,,True,,,,,,,,,10 gr marijuana buds. -indica-
29,29,31-03-2020 15:47:45,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0571,31015,11192,1038,399.0,,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
30,30,31-03-2020 15:47:45,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0522,28372,10238,950,365.0,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
31,31,31-03-2020 15:47:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0382,20755,7489,695,267.0,True,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
32,32,31-03-2020 15:47:45,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,10 гр,0.0111,6607,2384,221,85.0,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
33,33,31-03-2020 15:48:28,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2598,155465,56100,5205,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
34,34,31-03-2020 15:48:28,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.052000000000000005,31093,11220,1041,400.0,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
35,35,31-03-2020 15:48:28,Tbilisi,f8a875c191,METADON - 0.25 G.,,нет,5,Тбилиси,0.25 гр,0.0361,19433,7013,651,250.0,True,,,,,,,,,,METADON - 0.25 G.
36,36,31-03-2020 15:48:28,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 0.5 g. акция -10% при оплате бтк!!!,,нет,1,Тбилиси,0.5 гр,0.0242,14458,5217,484,186.0,True,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -10% pri oplate btk!!!
37,37,31-03-2020 15:48:28,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,1,2,Тбилиси,2 гр,0.0289,15547,5610,520,200.0,True,,,,,,,,,,✨✨2gram. MDMA✨✨
38,38,31-03-2020 15:48:28,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0532,28683,10350,960,369.0,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
39,39,31-03-2020 15:48:28,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0851,45862,16550,1535,590.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
40,40,31-03-2020 15:48:28,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0571,31093,11220,1041,400.0,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
