,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Vazisubani,Saburtalo,Vake,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,18-06-2020 12:37:09,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0123,8544,3308,292,109.0,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,18-06-2020 12:37:09,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,2,нет,Тбилиси,0.25 гр,0.0102,6948,2690,238,,True,100.0,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,18-06-2020 12:37:09,Tbilisi,16a8841259,Ak47 0.5г,,10,нет,Тбилиси,0.5 гр,0.0032,2154,834,74,,True,31.0,,,,,,,,,,,Ak47 0.5g
3,3,18-06-2020 12:37:09,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,1,нет,Тбилиси,0.5 гр,0.0173,11743,4546,402,,,169.0,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,4,18-06-2020 12:37:09,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,8,нет,Тбилиси,0.5 гр,0.0031,2084,807,71,,True,30.0,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,5,18-06-2020 12:37:09,Tbilisi,69672fee0d,1 гр INDICA марихуана шишки тгк 21% VHQ!!,,1,нет,Тбилиси,1 гр,0.004,2710,1049,93,,True,39.0,,,,,,,,,,,1 gr INDICA marihuana shishki tgk 21% VHQ!!
6,6,18-06-2020 12:37:09,Tbilisi,16a8841259,Ak - 47 1г,,9,нет,Тбилиси,1 гр,0.0056,3822,1480,131,,True,55.0,,,,,,,,,,,Ak - 47 1g
7,7,18-06-2020 12:37:09,Tbilisi,ae784bef73,NEW ! White Shark ! BUDS ! 1G,,1,нет,Тбилиси,1 гр,0.0046,3127,1211,107,,,45.0,,True,,,,,,,,,NEW ! White Shark ! BUDS ! 1G
8,8,18-06-2020 12:37:09,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,4,нет,Тбилиси,2 гр,0.0612,41620,16113,1426,,True,599.0,,,,,,,,,,,Cocaine Pure VHQ 2 g
9,9,18-06-2020 12:37:09,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,4,нет,Тбилиси,2 гр,0.0087,5906,2287,202,,,85.0,,,True,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
