,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Дигоми,Gldani,Varketili,Авлобари,Nadzaladevi,€,Old Tbilisi (Старый город),Центр,Батуми,Кутаиси,desc_en
0,0,04-05-2020 12:34:19,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,2,нет,Тбилиси,0.5 гр,0.0038,2545,950,85,35.0,,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,1,04-05-2020 12:34:19,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,3,нет,Тбилиси,0.5 гр,0.0037,2473,923,82,34.0,,,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
2,2,04-05-2020 12:34:19,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,2,нет,Тбилиси,0.5 гр,0.0059,4000,1493,133,55.0,True,,,,,,,,,,,,HQ Euro Hashish 0.5 g
3,3,04-05-2020 12:34:19,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,9,нет,Тбилиси,0.5 гр,0.0028,2109,787,70,29.0,,True,True,True,True,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
4,4,04-05-2020 12:34:19,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,1 гр,0.0059,4000,1493,133,55.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
5,5,04-05-2020 12:34:19,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,5,нет,Тбилиси,1 гр,0.0059,4000,1493,133,55.0,,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
6,6,04-05-2020 12:34:19,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,5,нет,Тбилиси,1 гр,0.005,3709,1385,123,51.0,,True,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
7,7,04-05-2020 12:34:19,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,1 гр,0.0061,4145,1548,138,57.0,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
8,8,04-05-2020 12:34:19,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0061,4145,1548,138,57.0,,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
9,9,04-05-2020 12:34:19,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,True,3,нет,Тбилиси,1 гр,0.0059,4000,1493,133,55.0,,,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
