,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,19-02-2020 19:26:41,Tbilisi,61df6a1c90,Метадон 0.15гр,True,6,нет,Тбилиси,0.15 гр,0.0114,8279,3186,286,130.0,,,,,,,,,,,Metadon 0.15gr
1,1,19-02-2020 19:26:41,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,6,нет,Тбилиси,0.25 гр,0.0158,11464,4412,397,180.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,19-02-2020 19:26:41,Tbilisi,32e645c201,"methadone 0,29 gr",,2,нет,Тбилиси,0.29 гр,0.0203,13374,5147,463,210.0,True,,,,,,,,,,"methadone 0,29 gr"
3,3,19-02-2020 19:26:41,Tbilisi,61df6a1c90,Метадон 0.30гр,True,2,нет,Тбилиси,0.3 гр,0.0158,12101,4657,419,190.0,,,,,,,,,,,Metadon 0.30gr
4,4,19-02-2020 19:26:41,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,6,нет,Тбилиси,0.5 гр,0.0067,4394,1691,152,69.0,,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
5,5,19-02-2020 19:26:41,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,3,нет,Тбилиси,0.5 гр,0.0028,1847,711,64,29.0,,True,True,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
6,6,19-02-2020 19:26:41,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,5,нет,Тбилиси,0.5 гр,0.0107,7006,2696,242,110.0,,,,,,,,,,,"Cocaine, 0.5 g"
7,7,19-02-2020 19:26:41,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0059,3821,1471,132,60.0,,,,,,,,,,,Ketamine 0.5g
8,8,19-02-2020 19:26:41,Tbilisi,ae784bef73,MDMA Кристаллы HQ 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0058,3821,1471,132,60.0,,,,,,,,,,,MDMA Kristally HQ 0.5G
9,9,19-02-2020 19:26:41,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0255,18469,7108,639,290.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
10,10,19-02-2020 19:26:41,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0097,6305,2426,218,99.0,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
11,11,19-02-2020 19:26:41,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,9,нет,Тбилиси,0.5 гр,0.0027,1783,686,62,28.0,,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
12,12,19-02-2020 19:26:41,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,9,нет,Тбилиси,0.5 гр,0.0101,6942,2672,240,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
13,13,19-02-2020 19:26:41,Tbilisi,61df6a1c90,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0264,19106,7353,661,300.0,,,,,,,,,,,Metadon 0.6gr
14,14,19-02-2020 19:26:41,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,15,нет,Тбилиси,1 гр,0.004,2866,1103,99,45.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
15,15,19-02-2020 19:26:41,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,6,нет,Тбилиси,1 гр,0.0116,7642,2941,264,120.0,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
16,16,19-02-2020 19:26:41,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,5,нет,Тбилиси,1 гр,0.0048,3184,1226,110,50.0,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
17,17,19-02-2020 19:26:41,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,2,нет,Тбилиси,1 гр,0.0087,5732,2206,198,90.0,,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
18,18,19-02-2020 19:26:41,Tbilisi,21de5577be,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,13,нет,Тбилиси,1 гр,0.0043,2866,1103,99,45.0,True,True,True,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
19,19,19-02-2020 19:26:41,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,3,нет,Тбилиси,1 гр,0.0126,8279,3186,286,130.0,,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
20,20,19-02-2020 19:26:41,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,7,нет,Тбилиси,1 гр,0.0082,5413,2083,187,85.0,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
21,21,19-02-2020 19:26:41,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,True,20,нет,Тбилиси,1 гр,0.0035,2356,907,82,37.0,True,,,,,,,,,,1G -- AK-47 -> Sativa
22,22,19-02-2020 19:26:41,Tbilisi,3e177bb968,1g Afghani imported grinded marijuana high THC,,1,нет,Тбилиси,1 гр,0.0046,3057,1176,106,48.0,,True,,,,,,,,,1g Afghani imported grinded marijuana high THC
23,23,19-02-2020 19:26:41,Tbilisi,8ddca45a78,1g BLUE CHEESE Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,1 гр,0.0034,2484,956,86,39.0,,,,,,,,,,,1g BLUE CHEESE Indica THC 18% / BTC -10% sale
24,24,19-02-2020 19:26:41,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,9,нет,Тбилиси,1 гр,0.0106,6942,2672,240,109.0,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
25,25,19-02-2020 19:26:41,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0089,5847,2261,203,,,,,85.0,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
26,26,19-02-2020 19:26:41,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,2,нет,Тбилиси,1 гр,0.0082,5413,2083,187,85.0,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
27,27,19-02-2020 19:26:41,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,4,нет,Тбилиси,1 гр,0.0085,5847,2261,203,,,,,85.0,,,,,,,1gr mdma (skidka v bitkoin 5%)
28,28,19-02-2020 19:26:41,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,10,нет,Тбилиси,1 гр,0.0214,14011,5392,485,220.0,,,,,,,,,,,"Cocaine, 1g"
29,29,19-02-2020 19:26:41,Tbilisi,ae784bef73,Gorilla Glue! 1G ! NEW !,True,1,нет,Тбилиси,1 гр,0.0039,2548,980,88,40.0,,,,,,,,,,,Gorilla Glue! 1G ! NEW !
30,30,19-02-2020 19:26:41,Tbilisi,28bf667d16,Hashish Ice-o-lator 1g,True,7,нет,Тбилиси,1 гр,0.0073,4840,1863,167,76.0,,,,,,,,,,,Hashish Ice-o-lator 1g
31,31,19-02-2020 19:27:16,Tbilisi,8219f5e7b8,Ketamine 1g,True,5,нет,Тбилиси,1 гр,0.0098,6369,2451,220,100.0,,,,,,,,,,,Ketamine 1g
32,32,19-02-2020 19:27:16,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0185,12037,4632,416,189.0,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
33,33,19-02-2020 19:27:16,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,7,нет,Тбилиси,1 гр,0.0185,12674,4877,438,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
34,34,19-02-2020 19:27:16,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0158,10827,4167,375,170.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
