,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
20,19-03-2020 12:25:26,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,,4,нет,Тбилиси,2 гр,0.0128,6100,2236,193,79,True,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
21,19-03-2020 12:25:26,Tbilisi,ABOAB,ProGrow,2G ---> Plan,,31,нет,Тбилиси,2 гр,0.0049,2316,849,73,30,True,,,,,,,,,,,2G ---> Plan
22,19-03-2020 12:25:26,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,3,нет,Тбилиси,2 гр,0.0571,27411,10047,867,355,,,True,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
23,19-03-2020 12:25:26,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,5,нет,Тбилиси,2 гр,0.0053,2780,1019,88,36,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
24,19-03-2020 12:25:26,Tbilisi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! !!BTC SALE 5%!! ПОДЪЕЗД!!!,,1,нет,Тбилиси,2 гр,0.021,9960,3651,315,129,,,True,,,,,,,,,GAShISh tverdyj!!! Hash!!!! !!BTC SALE 5%!! POD'EZD!!!
25,19-03-2020 12:25:26,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),,1,нет,Тбилиси,3 гр,0.0377,18675,6798,590,,True,,,220,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
26,19-03-2020 12:25:26,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,3,нет,Тбилиси,3 гр,0.0172,8107,2972,256,105,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
27,19-03-2020 12:25:26,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,,5,нет,Тбилиси,3 гр,0.0074,3861,1415,122,50,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
28,19-03-2020 12:25:26,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0473,24708,9056,781,320,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,19-03-2020 12:25:26,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0483,23164,8490,732,300,True,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
