,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,€,Кутаиси,desc_en
12,12,26-05-2020 21:04:21,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0527,34148,13013,1152,480.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
13,13,26-05-2020 21:04:21,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0118,7470,2847,252,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
14,14,26-05-2020 21:04:21,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0133,8466,3226,286,119.0,True,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
15,15,26-05-2020 21:04:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,9,нет,Тбилиси,4 гр,0.0119,7612,2901,257,107.0,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
16,16,26-05-2020 21:04:21,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,5,нет,Тбилиси,5 гр,0.0154,9889,3768,334,139.0,True,,,,,,,,,,5 gr georgian weed. Package on magnet
17,17,26-05-2020 21:04:21,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0196,12450,4744,420,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,18,26-05-2020 21:04:21,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1236,81812,31177,2759,1150.0,,,,,,,,,,,VHQ BEST Cocaine 5g.
19,19,26-05-2020 21:04:21,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,3,нет,Тбилиси,10 гр,0.0243,15580,5937,526,219.0,True,,,,,,,,,,10 gr georgian weed. Package on magnet
20,20,26-05-2020 21:04:21,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0484,32013,12200,1080,450.0,,,,,,,,,,,Gashish Evro 10gr
21,21,26-05-2020 21:04:21,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0826,55276,21064,1864,777.0,,,,,,,,,,,Gashish Evro 20gr
22,22,26-05-2020 21:04:21,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0081,5691,2169,192,80.0,,,,,,,,,,,GABAGAMA 50 SHTUK
23,23,26-05-2020 21:04:21,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2015,142282,54220,4799,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
24,24,26-05-2020 21:04:21,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0186,13161,5015,444,185.0,,,,,,,,,,,GABAGAMA 150 shtuk
25,25,26-05-2020 21:04:21,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0235,14940,5693,504,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
26,26,26-05-2020 21:04:21,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0413,26251,10004,885,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
27,27,26-05-2020 21:04:21,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0648,41191,15697,1389,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
