,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
23,23,16-03-2020 13:14:18,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,6,нет,Тбилиси,1 гр,0.0073,3074,1135,98,42.0,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
24,24,16-03-2020 13:14:18,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0334,14564,5379,466,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
25,25,16-03-2020 13:14:18,Tbilisi,99accec7c7,cocaine 1gr СУПЕР COCA!!!,,6,нет,Тбилиси,1 гр,0.0318,14638,5406,468,200.0,True,,,,,,,,,,cocaine 1gr SUPER COCA!!!
26,26,16-03-2020 13:14:18,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0327,13833,5109,442,189.0,,,,,,,,,,,Kokain HQ 1g.
27,27,16-03-2020 13:14:18,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1431,65869,24327,2106,900.0,,,,,,,,,,,Metadon 1gr
28,28,16-03-2020 13:14:18,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,7,нет,Тбилиси,1 гр,0.0032,1464,541,47,20.0,,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
29,29,16-03-2020 13:14:18,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,1,нет,Тбилиси,1 гр,0.0193,7978,2946,255,109.0,,,,,,,,,,,✨ 1g. MDMA ✨
30,30,16-03-2020 13:14:18,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,14,нет,Тбилиси,2 гр,0.0143,6587,2433,211,90.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
31,31,16-03-2020 13:14:18,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0636,26348,9731,842,360.0,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
32,32,16-03-2020 13:14:18,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0636,27738,10244,887,379.0,,,,,,,,,,,Kokain HQ 2g.
33,33,16-03-2020 13:14:18,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0469,20465,7555,654,,,,250.0,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
34,34,16-03-2020 13:15:07,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,1,нет,Тбилиси,3 гр,0.0204,8417,3108,269,115.0,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
35,35,16-03-2020 13:15:07,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.051,23420,8650,749,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
36,36,16-03-2020 13:15:07,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0521,21956,8109,702,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
37,37,16-03-2020 13:15:07,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0659,28651,10577,915,,,,350.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
