,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
0,24-07-2020 16:23:11,Tbilisi,EIH4,San4oPan4o,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,5,нет,Тбилиси,0.5 гр,0.0069,4820,1879,160,58,,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,24-07-2020 16:23:11,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,,14,нет,Тбилиси,0.5 гр,0.0035,2363,922,79,,True,33,,,,,,,,,0.5 gr HYBRID buds
2,24-07-2020 16:23:11,Tbilisi,DUT7,Galiakkk,The Best Weed in your life 0.5g Limited,,5,нет,Тбилиси,0.5 гр,0.0033,2506,978,84,,,35,True,,,,,,,,The Best Weed in your life 0.5g Limited
3,24-07-2020 16:23:11,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,1 гр,0.0063,4296,1677,143,,,60,,True,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
4,24-07-2020 16:23:11,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,4,нет,Тбилиси,1 гр,0.0062,4224,1649,141,,,59,,True,,,,,,,1 G Hybrid Marijuana Buds
5,24-07-2020 16:23:11,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,2,нет,Тбилиси,1 гр,0.0063,4296,1677,143,,True,60,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
6,24-07-2020 16:23:11,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,2,нет,Тбилиси,1 гр,0.0057,3938,1537,131,,True,55,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
7,24-07-2020 16:23:11,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,1 гр,0.0062,4224,1649,141,,True,59,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
8,24-07-2020 16:23:11,Tbilisi,7R3WM,RastaShop,1.0 gr. Afghan kush (Indika),True,2,нет,Тбилиси,1 гр,0.0055,3795,1481,126,,,53,,,,,,,,,1.0 gr. Afghan kush (Indika)
9,24-07-2020 16:23:11,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),True,1,нет,Тбилиси,1 гр,0.0055,3795,1481,126,,,53,,,,,,,,,1G ---> Big Devil (BTC - Sale)
10,24-07-2020 16:23:11,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,,8,нет,Тбилиси,1 гр,0.0051,3508,1370,117,,True,49,,,,,,,,,1gr HYBRID o.g
11,24-07-2020 16:23:11,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,1 гр,0.0051,3508,1370,117,,True,49,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
12,24-07-2020 16:23:11,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,,2,нет,Тбилиси,1 гр,0.0052,3938,1537,131,,True,55,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
13,24-07-2020 16:23:11,Tbilisi,7U9YP,ChitosPizz,Сирец Иран 1гр,,7,нет,Тбилиси,1 гр,0.0247,18615,7267,620,,True,260,,,,,,,,,Sirets Iran 1gr
14,24-07-2020 16:23:11,Tbilisi,H9FHF,OldStar,Шишка добрая 1 g,,24,нет,Тбилиси,1 гр,0.0051,3600,1657,121,,True,,,,,,,,,,Shishka dobraja 1 g
15,24-07-2020 16:23:11,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0103,7088,2767,236,,,99,,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
16,24-07-2020 16:23:11,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0114,7804,3047,260,,,109,,True,,,,,,,2 G Hybrid Marijuana Buds
17,24-07-2020 16:23:11,Tbilisi,BB6E,WEEDSH0P,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,3,нет,Тбилиси,2 гр,0.0115,7876,3075,262,,True,110,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
18,24-07-2020 16:23:11,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0125,8592,3354,286,,True,120,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,24-07-2020 16:23:11,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0125,8592,3354,286,,True,120,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
20,24-07-2020 16:23:11,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,2 гр,0.0115,7876,3075,262,,True,110,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
21,24-07-2020 16:23:11,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,2 гр,0.0104,7160,2795,239,,True,100,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
22,24-07-2020 16:23:11,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,4,нет,Тбилиси,2 гр,0.0125,8592,3354,286,,True,120,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
23,24-07-2020 16:23:11,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,2 гр,0.0104,7876,3075,262,,True,110,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
24,24-07-2020 16:23:11,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 2 г. TOP BUDS Very Strong,,1,нет,Тбилиси,2 гр,0.0103,7804,3047,260,,True,109,,,,,,,,,Hybrid Bomba 2 g. TOP BUDS Very Strong
25,24-07-2020 16:23:11,Tbilisi,LGRP8,Walker12,Badazz Kush 3G VHQ 25% THC,True,3,нет,Тбилиси,3 гр,0.0136,9308,3634,310,,,130,,,,,,,,,Badazz Kush 3G VHQ 25% THC
26,24-07-2020 16:23:11,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,3,нет,Тбилиси,3 гр,0.0025,1718,671,57,,,24,,True,,,,,,,Marijuana Super Skunk leaves 3g plan
27,24-07-2020 16:23:11,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm (special price),,4,нет,Тбилиси,3 гр,0.0109,8234,3214,274,,True,115,,,,,,,,,Northern Lights Regular [budsonly] 3gramm (special price)
