,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Old Tbilisi (Старый город),Saburtalo,Didube,Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,16-07-2020 01:31:58,Tbilisi,be97026d1d,!!! Iranian Sirec 0.30g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.3 гр,0.0116,8003,3085,272,99.0,,,,,,,,,,,,!!! Iranian Sirec 0.30g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,16-07-2020 01:31:58,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.0062,4177,1614,142,,True,59.0,,,,,,,,,,1 G Hybrid Marijuana Buds
2,2,16-07-2020 01:31:58,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,4,нет,Тбилиси,1 гр,0.0063,4248,1641,144,,True,60.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
3,3,16-07-2020 01:31:58,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,1 гр,0.0063,4248,1641,144,,True,60.0,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
4,4,16-07-2020 01:31:58,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,7,нет,Тбилиси,1 гр,0.0062,4177,1614,142,,True,59.0,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
5,5,16-07-2020 01:31:58,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,1 гр,0.0063,4248,1641,144,,True,60.0,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
6,6,16-07-2020 01:31:58,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,5,нет,Тбилиси,1 гр,0.0062,4177,1614,142,,True,59.0,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
7,7,16-07-2020 01:31:58,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,10,нет,Тбилиси,1 гр,0.0052,3540,1368,120,,True,50.0,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
8,8,16-07-2020 01:31:58,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,2,нет,Тбилиси,1 гр,0.0051,3469,1340,118,,True,49.0,,,,,,,,,,1gr HYBRID o.g
9,9,16-07-2020 01:31:58,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,2,нет,Тбилиси,1 гр,0.0063,4248,1641,144,,True,60.0,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
10,10,16-07-2020 01:31:58,Tbilisi,ebadfc162f,Gorilla Glue 1G Super strong weed LIMITED,,1,нет,Тбилиси,1 гр,0.0063,4248,1641,144,,,60.0,True,,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
11,11,16-07-2020 01:31:58,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,,1,нет,Тбилиси,1 гр,0.0045,3186,1231,108,,True,45.0,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
12,12,16-07-2020 01:31:58,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,3,нет,Тбилиси,1 гр,0.0072,4850,1870,165,60.0,True,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
13,13,16-07-2020 01:31:58,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0104,7009,2708,238,,,99.0,,True,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
14,14,16-07-2020 01:31:58,Tbilisi,366326d4d6,"2 Ecstasy, ""Rolex"" ! ! ! ****NEW**** ! ! ! SALE !! SALE ! ! !",,7,нет,Тбилиси,2 гр,0.0115,7717,2981,262,,True,109.0,,,,,,,,,,"2 Ecstasy, ""Rolex"" ! ! ! ****NEW**** ! ! ! SALE !! SALE ! ! !"
15,15,16-07-2020 01:31:58,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0114,7717,2981,262,,True,109.0,,,,,,,,,,2 G Hybrid Marijuana Buds
16,16,16-07-2020 01:31:58,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,8,нет,Тбилиси,2 гр,0.0126,8496,3282,288,,True,120.0,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
17,17,16-07-2020 01:31:58,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,1,нет,Тбилиси,2 гр,0.0126,8496,3282,288,,True,120.0,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
18,18,16-07-2020 01:31:58,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,3,нет,Тбилиси,2 гр,0.0115,7788,3009,264,,True,110.0,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
19,19,16-07-2020 01:31:58,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0126,8496,3282,288,,True,120.0,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
20,20,16-07-2020 01:31:58,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,3,нет,Тбилиси,2 гр,0.0105,7080,2735,240,,True,100.0,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
21,21,16-07-2020 01:31:58,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,2 гр,0.0105,7080,2735,240,,True,100.0,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
