,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Old Tbilisi (Старый город),Vake,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
23,23,01-03-2020 22:43:11,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,2,Тбилиси,0.27 гр,0.0308,18088,6669,605,270.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
24,24,01-03-2020 22:43:11,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0342,20097,7410,672,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
25,25,01-03-2020 22:43:11,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,5,Тбилиси,1.1 гр,0.0684,40195,14820,1343,600.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
26,26,01-03-2020 22:43:11,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0188,11187,4125,374,167.0,,,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
27,27,01-03-2020 22:43:11,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,3,Тбилиси,2 гр,0.0184,12164,4473,407,,,,165.0,,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
28,28,01-03-2020 22:43:11,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0672,39525,14573,1321,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,29,01-03-2020 22:43:11,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,3,Тбилиси,3 гр,0.0194,12661,4668,423,189.0,,,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
30,30,01-03-2020 22:43:11,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0451,26796,9880,896,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
31,31,01-03-2020 22:43:11,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.062,36845,13585,1232,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
32,32,01-03-2020 22:43:11,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0271,16078,5928,537,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
