,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,15-06-2020 10:09:35,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,1,нет,Тбилиси,0.5 гр,0.0033,2212,861,76,32.0,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
1,1,15-06-2020 10:09:35,Tbilisi,52fe6d0af9,VHQ Hibryd Photo Strains(Sativa) High THC 26%+ 0.5G,,5,нет,Тбилиси,0.5 гр,0.0037,2419,942,83,35.0,True,,,,,,,,VHQ Hibryd Photo Strains(Sativa) High THC 26%+ 0.5G
2,2,15-06-2020 10:09:35,Tbilisi,4a91350669,1 г шишки марихуана индика тгк 21% VHQ,,19,нет,Тбилиси,1 гр,0.0042,2765,1076,95,40.0,,True,,,,,,,1 g shishki marihuana indika tgk 21% VHQ
3,3,15-06-2020 10:09:35,Tbilisi,54915c4374,Геройн (сирец) 1 гр,,1,нет,Тбилиси,1 гр,0.033,21773,8474,749,315.0,,,True,,,,,,Gerojn (sirets) 1 gr
4,4,15-06-2020 10:09:35,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0089,5875,2287,202,85.0,,,True,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
5,5,15-06-2020 10:09:35,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,True,4,нет,Тбилиси,3 гр,0.0072,4769,1856,164,69.0,,,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
6,6,15-06-2020 10:09:35,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,4 гр,0.0146,9677,3766,333,140.0,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
7,7,15-06-2020 10:09:35,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),True,9,нет,Тбилиси,5 гр,0.0104,6843,2663,235,99.0,,,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
8,8,15-06-2020 10:09:35,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,2,нет,Тбилиси,10 гр,0.0015,968,377,33,14.0,,,,,,,,,GABAGAMA 10 shtuk
9,9,15-06-2020 10:09:35,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),True,5,нет,Тбилиси,10 гр,0.0208,13755,5353,473,199.0,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
10,10,15-06-2020 10:09:35,Tbilisi,e56bb6ca93,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",True,6,нет,Тбилиси,10 гр,0.0099,6497,2529,224,94.0,,,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
11,11,15-06-2020 10:09:35,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,10 гр,0.0065,4493,1749,155,65.0,,,,True,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
12,12,15-06-2020 10:09:35,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0476,34561,13450,1189,500.0,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
13,13,15-06-2020 10:09:35,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2111,138244,53800,4756,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
14,14,15-06-2020 10:09:35,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G Same Day,True,нет,1,Тбилиси,0.5 гр,0.0177,11682,4546,402,169.0,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G Same Day
