,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Gldani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,19-05-2020 14:16:25,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,13,нет,Тбилиси,0.3 гр,0.0097,3221,234,7000,,,,,,,,,,,0.3 a-pvp white
1,19-05-2020 14:16:25,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,17,нет,Тбилиси,0.5 гр,0.0163,4245,387,11604,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,19-05-2020 14:16:25,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,3,нет,Тбилиси,0.5 гр,0.0056,1469,134,4014,55,True,,,,,,,,,HQ Euro Hashish 0.5 g
3,19-05-2020 14:16:26,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0306,7983,729,21821,299,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,19-05-2020 14:16:26,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0238,6275,573,17150,235,,,,,,,,,,Cocaine Pure VHQ 1g
5,19-05-2020 14:16:26,Tbilisi,AU2VI,growershop,Silver Haze | 90% sativa 10% indica | 1g,True,1,нет,Тбилиси,1 гр,0.0051,1469,134,4014,55,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 1g
6,19-05-2020 14:16:26,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.083,24030,2193,65682,900,,,,,,,,,,Metadon 1gr
7,19-05-2020 14:16:26,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,2 гр,0.0091,2376,217,6495,89,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
8,19-05-2020 14:16:26,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds.,,1,нет,Тбилиси,2 гр,0.0087,2270,207,6203,85,,True,,,,,,,,2g super Skunk top class buds.
9,19-05-2020 14:16:26,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0072,1869,171,5109,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
10,19-05-2020 14:16:26,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0482,12816,1170,35030,480,,,,,,,,,,VHQ BEST Cocaine 2g.
11,19-05-2020 14:16:26,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,5,нет,Тбилиси,2 гр,0.0089,2350,214,6422,88,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
12,19-05-2020 14:16:26,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0122,3177,290,8685,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
13,19-05-2020 14:16:26,Tbilisi,LYHBG,Playboy,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,3 гр,0.0122,3177,290,8685,119,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
14,19-05-2020 14:16:26,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds.,,1,нет,Тбилиси,3 гр,0.0122,3177,290,8685,119,,True,,,,,,,,3g superskunk top class buds.
15,19-05-2020 14:16:26,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,7,нет,Тбилиси,3 гр,0.0108,2804,256,7663,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
16,19-05-2020 14:16:26,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,3,нет,Тбилиси,5 гр,0.0141,3711,339,10144,139,True,,,,,,,,,5 gr georgian weed. Package on magnet
17,19-05-2020 14:16:26,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0179,4673,426,12771,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,19-05-2020 14:16:26,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1167,30705,2802,83927,1150,,,,,,,,,,Cocaine Pure VHQ 5g.
19,19-05-2020 14:16:26,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1131,30705,2802,83927,1150,,,,,,,,,,VHQ BEST Cocaine 5g.
20,19-05-2020 14:16:26,Tbilisi,HWUW,opiopi,GABAGAMA 10 SHTUK,True,2,нет,Тбилиси,10 гр,0.0021,614,56,1679,23,,,,,,,,,,GABAGAMA 10 SHTUK
21,19-05-2020 14:16:26,Tbilisi,PTO3,MeDuZa777,THE BEST GAGARIN WEED 10g (TOP)(VHQ) NEW NEW NEW,True,2,нет,Тбилиси,10 гр,0.0355,9345,853,25543,350,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ) NEW NEW NEW
