,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,22-03-2020 18:37:02,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0133,7024,2529,230,90,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,22-03-2020 18:37:02,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,5,нет,Тбилиси,0.25 гр,0.028,14828,5339,486,190,,,,,,,,,,,"Metadon VHQ 0,25"
2,22-03-2020 18:37:02,Tbilisi,TI21,Campaari,"A-PVP 0,33 g VHQ",True,1,нет,Тбилиси,0.33 гр,0.0118,6244,2248,205,80,,,,,,,,,,,"A-PVP 0,33 g VHQ"
3,22-03-2020 18:37:02,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",True,6,нет,Тбилиси,0.33 гр,0.0072,4208,1518,138,,50,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
4,22-03-2020 18:37:02,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.014,7726,2782,253,99,,,,,,,,,,,Cocaine Pure VHQ 0.5g
5,22-03-2020 18:37:02,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни!,True,3,нет,Тбилиси,0.5 гр,0.0096,5073,1827,166,65,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
6,22-03-2020 18:37:02,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.017,9365,3372,307,120,,,,,,,,,,,Pure COCAINE VHQ 0.5g
7,22-03-2020 18:37:02,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 0.5 грамм,True,1,нет,Тбилиси,0.5 гр,0.0065,3787,1366,124,,45,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.5 gramm
8,22-03-2020 18:37:02,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),True,2,нет,Тбилиси,1 гр,0.017,9365,3372,307,120,,,,,,,,,,,1g MDMA (IMPORTED)
9,22-03-2020 18:37:02,Tbilisi,UJP9,420Inc,Blue Cheese Auto 1G pressed buds(Hydro),True,5,нет,Тбилиси,1 гр,0.0065,3512,1265,115,45,,,,,,,,,,,Blue Cheese Auto 1G pressed buds(Hydro)
10,22-03-2020 18:37:02,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0268,14750,5311,484,189,,,,,,,,,,,Cocaine Pure VHQ 1g
11,22-03-2020 18:37:02,Tbilisi,X4ZM,ZYX,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,1,нет,Тбилиси,1 гр,0.008,4214,1517,138,54,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
12,22-03-2020 18:37:02,Tbilisi,X4ZM,ZYX,NEW ! Super Skunk ! NEW ! BUDS ! 1G,True,7,нет,Тбилиси,1 гр,0.0068,3590,1293,118,46,,,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
13,22-03-2020 18:37:02,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.029,15999,5761,525,205,,,,,,,,,,,VHQ BEST Cocaine 1g.
14,22-03-2020 18:37:02,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,True,8,нет,Тбилиси,1 гр,0.0031,1795,646,59,23,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
15,22-03-2020 18:37:02,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1208,70240,25290,2303,900,,,,,,,,,,,Metadon 1gr
16,22-03-2020 18:37:02,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,2 гр,0.0141,8195,2951,269,105,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
17,22-03-2020 18:37:02,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,2 гр,0.0133,7024,2529,230,90,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
18,22-03-2020 18:37:02,Tbilisi,ABOAB,ProGrow,2G ---> ONLY BUDS,,2,нет,Тбилиси,2 гр,0.009,4761,1714,156,61,,True,,,,,,,,,2G ---> ONLY BUDS
19,22-03-2020 18:37:02,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,4,нет,Тбилиси,2 гр,0.0118,6166,2220,202,79,,,True,,,,,,,,2g super Skunk top class buds. Indica
20,22-03-2020 18:37:02,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,2,нет,Тбилиси,2 гр,0.0483,28096,10116,921,360,,,,,,,,,,,Cocaine Pure VHQ 2 g
21,22-03-2020 18:37:02,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0537,29579,10650,970,379,,,,,,,,,,,Kokain HQ 2g.
22,22-03-2020 18:37:02,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0157,8195,2951,269,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
23,22-03-2020 18:37:02,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,True,4,нет,Тбилиси,3 гр,0.0067,3902,1405,128,50,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
