,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Nadzaladevi,Saburtalo,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,26-06-2020 23:37:10,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,6,нет,Тбилиси,0.25 гр,0.0099,6824,2653,236,88,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,26-06-2020 23:37:10,Tbilisi,PTO3,MeDuZa777,"Black Gerain, Sirec VHQ 0.4g",,2,нет,Тбилиси,0.4 гр,0.0123,8295,3217,286,,True,120,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,26-06-2020 23:37:10,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,,4,нет,Тбилиси,0.5 гр,0.0165,10991,4263,379,,True,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,26-06-2020 23:37:10,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0154,10369,4022,357,,True,150,,,,,,,,,,"Black Geroin, Sirec 0.5g"
4,26-06-2020 23:37:10,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,,1,нет,Тбилиси,0.5 гр,0.0151,10162,3941,350,,True,147,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
5,26-06-2020 23:37:10,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,9,нет,Тбилиси,0.5 гр,0.0031,2074,804,71,,True,30,True,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
6,26-06-2020 23:37:10,Tbilisi,UZRVH,ZEBRAWEED,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,6,нет,Тбилиси,0.5 гр,0.003,2074,804,71,,,30,,,True,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
7,26-06-2020 23:37:10,Tbilisi,UZRVH,ZEBRAWEED,КЕТАМИН WHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.014,10369,4022,357,,True,150,,,,,,,,,,KETAMIN WHQ 0.5g
8,26-06-2020 23:37:10,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,6,нет,Тбилиси,1 гр,0.0061,4148,1609,143,,,60,,,True,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
9,26-06-2020 23:37:10,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,3,нет,Тбилиси,1 гр,0.0056,3802,1475,131,,True,55,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
10,26-06-2020 23:37:10,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,1 гр,0.006,4079,1582,141,,True,59,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
11,26-06-2020 23:37:10,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,23,нет,Тбилиси,1 гр,0.0059,4009,1555,138,,,58,,,True,,,,,,,1G ---> Big Devil (BTC - Sale)
12,26-06-2020 23:37:10,Tbilisi,ABOAB,ProGrow,1G ---> Pineapple (BTC - Sale),,17,нет,Тбилиси,1 гр,0.0056,3802,1475,131,,True,55,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
13,26-06-2020 23:37:10,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,7,нет,Тбилиси,1 гр,0.0061,4148,1609,143,,,60,True,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
14,26-06-2020 23:37:10,Tbilisi,9Y6T,WeedShop,1г A Skunk,,8,нет,Тбилиси,1 гр,0.0051,3456,1341,119,,True,50,,,,,,,,,,1g A Skunk
15,26-06-2020 23:37:10,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,6,нет,Тбилиси,1 гр,0.0061,4148,1609,143,,True,60,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
16,26-06-2020 23:37:10,Tbilisi,QVK5,Galiak,The Best Weed In Your Life 1G 100%шишки!,,4,нет,Тбилиси,1 гр,0.0071,4770,1850,164,,,69,,,True,,,,,,,The Best Weed In Your Life 1G 100%shishki!
17,26-06-2020 23:37:10,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,1,нет,Тбилиси,1 гр,0.0051,3802,1475,131,,True,55,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
18,26-06-2020 23:37:10,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,2 гр,0.0101,6844,2654,236,,,99,,,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
19,26-06-2020 23:37:10,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,2,нет,Тбилиси,2 гр,0.0112,7535,2922,260,,True,109,,,,,,,,,,2 G Hybrid Marijuana Buds
20,26-06-2020 23:37:10,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,2 гр,0.0113,7604,2949,262,,,110,True,,True,True,,,,,,2 gr top buds white widow wishki THC 25% VHQ
21,26-06-2020 23:37:10,Tbilisi,3Y9,HIGHTHC,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,2 гр,0.0102,6913,2681,238,,,100,,,True,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
22,26-06-2020 23:37:10,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,2,нет,Тбилиси,2 гр,0.009,6083,2359,210,,True,88,,,,,,,,,,2gr HYBRID buds
23,26-06-2020 23:37:10,Tbilisi,QVK5,Galiak,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,True,1,нет,Тбилиси,2 гр,0.0108,7258,2815,250,,,105,,,,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
24,26-06-2020 23:37:10,Tbilisi,9Y6T,WeedShop,листя+бошки в трихомах 2г,,2,нет,Тбилиси,2 гр,0.0047,3456,1341,119,,True,50,,,,,,,,,,listja+boshki v trihomah 2g
25,26-06-2020 23:37:10,Tbilisi,1MZLP,WeedbooM,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0087,5876,2279,203,,,85,,,True,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
26,26-06-2020 23:37:10,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,28,нет,Тбилиси,3 гр,0.0089,6014,2332,207,,True,87,,,,,True,,,,,3 gr georgian weed. Package on magnet
27,26-06-2020 23:37:10,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0224,16591,6434,572,,True,240,,,,,,,,,,5g. marihuana shishki Critical
28,26-06-2020 23:37:10,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,3,нет,Тбилиси,5 гр,0.0071,4770,1850,164,,True,69,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
29,26-06-2020 23:37:10,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,5 гр,0.0181,12097,4692,417,,True,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,26-06-2020 23:37:10,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,,9,нет,Тбилиси,5 гр,0.0139,10300,3995,355,,True,149,,,,,,,,,,5g. GEO Marihuana boshki
31,26-06-2020 23:37:10,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,,2,нет,Тбилиси,5 гр,0.1537,103693,40215,3574,,True,1500,,,,,,,,,,Cocaine Pure VHQ 5g.
32,26-06-2020 23:37:10,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1536,103623,40188,3572,,True,1499,,,,,,,,,,VHQ BEST Cocaine 5g.
33,26-06-2020 23:37:10,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0051,3802,1475,131,,True,55,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
34,26-06-2020 23:37:10,Tbilisi,A3I9,Joookerrr,марки н-боом 5шт.,,3,10,Тбилиси,5 гр,0.0067,4493,1743,155,,True,65,,,True,,,,,,,marki n-boom 5sht.
35,26-06-2020 23:37:10,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,9,нет,Тбилиси,10 гр,0.0245,16522,6408,569,,True,239,,,,,,,,,,10 gr georgian weed. Package on magnet
