,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Gldani,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
24,13-03-2020 16:19:35,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,2 гр,0.0131,6587,2413,211,90,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
25,13-03-2020 16:19:35,Tbilisi,ABOAB,ProGrow,2G ---> INDICA,,11,нет,Тбилиси,2 гр,0.0097,4538,1662,146,62,,,,True,,,,,,,2G ---> INDICA
26,13-03-2020 16:19:35,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,3,нет,Тбилиси,2 гр,0.0051,2562,938,82,35,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
27,13-03-2020 16:19:35,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0583,27738,10161,890,379,,,,,,,,,,,Kokain HQ 2g.
28,13-03-2020 16:19:35,Tbilisi,8B31,bobbyz,3 gr Indica dominant Buds,True,1,нет,Тбилиси,3 гр,0.0134,6367,2332,204,87,,,,,,,,,,,3 gr Indica dominant Buds
29,13-03-2020 16:19:35,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.043,20465,7513,662,,250,,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
30,13-03-2020 16:19:35,Tbilisi,ABOAB,ProGrow,3G ---> INDICA,,19,нет,Тбилиси,3 гр,0.0127,6367,2332,204,87,,,,True,,,,,,,3G ---> INDICA
31,13-03-2020 16:19:35,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,7,нет,Тбилиси,3 гр,0.017,7685,2815,246,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
32,13-03-2020 16:19:35,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.016,7246,2654,232,99,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
33,13-03-2020 16:19:35,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,4,нет,Тбилиси,3 гр,0.0186,8417,3083,270,115,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
34,13-03-2020 16:19:35,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.062,29470,10818,953,,360,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
35,13-03-2020 16:19:35,Tbilisi,8B31,bobbyz,5gr georgian indica (hight quality),,4,нет,Тбилиси,5 гр,0.0203,10173,3727,326,139,,True,,,,,,,,,5gr georgian indica (hight quality)
36,13-03-2020 16:20:31,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0283,12808,4692,411,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
