,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Батуми,Центр,desc_en
0,05-08-2020 06:13:25,Tbilisi,OX85,amnesia420,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,6,нет,Тбилиси,0.5 гр,0.0025,2128,811,71,29,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
1,05-08-2020 06:13:25,Tbilisi,OX85,amnesia420,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,6,нет,Тбилиси,0.5 гр,0.0025,2128,811,71,29,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
2,05-08-2020 06:13:25,Tbilisi,9Y6T,WeedShop,0.5 Gram Skunk HQ,True,7,нет,Тбилиси,0.5 гр,0.0027,2275,866,76,31,,,,,,,,,,,,0.5 Gram Skunk HQ
3,05-08-2020 06:13:25,Tbilisi,9Y6T,WeedShop,0.5 Grm Northen Light,True,7,нет,Тбилиси,0.5 гр,0.0027,2275,866,76,31,,,,,,,,,,,,0.5 Grm Northen Light
4,05-08-2020 06:13:25,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,7,нет,Тбилиси,0.5 гр,0.0029,2422,922,81,33,,,,,,,,,,,,0.5 gr HYBRID buds
5,05-08-2020 06:13:25,Tbilisi,7R3WM,RastaShop,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,4,нет,Тбилиси,0.5 гр,0.0028,2348,894,78,32,True,,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
6,05-08-2020 06:13:25,Tbilisi,QUZIV,Hollyweed,0.5 г.Super Skunk top class buds! (подезд),,6,нет,Тбилиси,0.5 гр,0.0027,2275,866,76,31,,True,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
7,05-08-2020 06:13:25,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),,21,нет,Тбилиси,0.5 гр,0.0025,2055,783,68,28,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
8,05-08-2020 06:13:25,Tbilisi,9R7SU,ClownBaroN,CLOWNBARON ШИШКИ* VHQ*♤THC 28%♤0.5G SPECIAL PRICE,,7,нет,Тбилиси,0.5 гр,0.0025,2128,811,71,29,True,,,,,,,,,,,CLOWNBARON ShIShKI* VHQ*♤THC 28%♤0.5G SPECIAL PRICE
9,05-08-2020 06:13:25,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.003,2495,950,83,34,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
10,05-08-2020 06:13:25,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0026,2201,839,73,30,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
11,05-08-2020 06:13:25,Tbilisi,6P9R,RickNMorty,VHQ Methadon 0.50G Imported Crystals,True,1,нет,Тбилиси,0.5 гр,0.0438,36690,13975,1220,500,,,,,,,,,,,,VHQ Methadon 0.50G Imported Crystals
12,05-08-2020 06:13:25,Tbilisi,9R7SU,ClownBaroN,!!!NEW!!! AmneziaXSkittels 1G IMPORT,,8,нет,Тбилиси,1 гр,0.0049,4109,1565,137,56,True,,,,,,,,,,,!!!NEW!!! AmneziaXSkittels 1G IMPORT
13,05-08-2020 06:13:25,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,1 гр,0.0053,4403,1677,146,60,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
