,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Gldani,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,13-03-2020 02:40:28,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,10,нет,Тбилиси,0.12 гр,0.0153,8143,2934,258,110.0,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,13-03-2020 02:40:28,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,2,нет,Тбилиси,0.15 гр,0.0233,11104,4001,352,150.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
2,2,13-03-2020 02:40:28,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0265,14065,5067,446,190.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,13-03-2020 02:40:28,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,19,нет,Тбилиси,0.25 гр,0.027999999999999997,14065,5067,446,190.0,,,,,,,,,,,"Metadon VHQ 0,25"
4,4,13-03-2020 02:40:28,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0465,22208,8001,704,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
5,5,13-03-2020 02:40:28,Tbilisi,7fa257ac43,0.35gr ALFA PVP GREEN,True,10,нет,Тбилиси,0.35 гр,0.0108,5182,1867,164,70.0,,,,,,,,,,,0.35gr ALFA PVP GREEN
6,6,13-03-2020 02:40:28,Tbilisi,8ddca45a78,"0,5g AFGHANI Indica THC 18% / BTC -5% sale",True,5,нет,Тбилиси,0.5 гр,0.0037,1851,667,59,25.0,,,,,,,,,,,"0,5g AFGHANI Indica THC 18% / BTC -5% sale"
7,7,13-03-2020 02:40:28,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0161,8069,2907,256,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,8,13-03-2020 02:40:28,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,7,нет,Тбилиси,0.5 гр,0.0153,7329,2640,232,99.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
9,9,13-03-2020 02:40:28,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.0056,2961,1067,94,40.0,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
