,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,€,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,20-03-2020 12:34:58,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,11,нет,Тбилиси,0.25 гр,0.027,15230,5434,483,190,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,20-03-2020 12:34:58,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,9,5,Тбилиси,0.27 гр,0.033,18196,6492,577,227,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
2,20-03-2020 12:34:59,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,6,нет,Тбилиси,0.5 гр,0.0103,6012,2145,191,75,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
3,20-03-2020 12:34:59,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,,2,нет,Тбилиси,0.5 гр,0.0575,32063,11440,1017,400,True,,,,,,,,,,Metadon VHQ 0.5 24/7
4,20-03-2020 12:34:59,Tbilisi,AU2VI,growershop,Silver Haze | 90% sativa 10% indica | 0.5g,,6,нет,Тбилиси,0.5 гр,0.0039,2405,858,76,30,True,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
5,20-03-2020 12:34:59,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0072,4008,1430,127,50,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,20-03-2020 12:34:59,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,,3,нет,Тбилиси,1 гр,0.0173,9619,3432,305,120,True,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
7,20-03-2020 12:34:59,Tbilisi,1GT8,GREENGY,1g Cocaine (SOUTH AMERICA),,2,нет,Тбилиси,1 гр,0.0276,16031,5720,508,200,True,,,,,,,,,,1g Cocaine (SOUTH AMERICA)
8,20-03-2020 12:34:59,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),,6,нет,Тбилиси,1 гр,0.0166,9619,3432,305,120,True,,,,,,,,,,1g MDMA (IMPORTED)
9,20-03-2020 12:34:59,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,,10,нет,Тбилиси,1 гр,0.0066,3687,1316,117,46,True,,,,,,,,,,Amsterdam weed sativa 1gr
10,20-03-2020 12:34:59,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,1,нет,Тбилиси,1 гр,0.0863,48094,17160,1525,600,True,,,,,,,,,,Metadon VHQ 1 24/7
11,20-03-2020 12:34:59,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 1G,,3,нет,Тбилиси,1 гр,0.0072,4008,1430,127,50,True,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
