,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,16-05-2020 13:12:28,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,61,нет,Тбилиси,0.3 гр,0.01,3221,234,7000,,,,,,,,,,0.3 a-pvp white
1,1,16-05-2020 13:12:28,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,4,нет,Тбилиси,1 гр,0.0315,8028,731,21888,299.0,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
2,2,16-05-2020 13:12:28,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0852,24165,2202,65885,900.0,,,,,,,,,Metadon 1gr
3,3,16-05-2020 13:12:28,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0251,6417,585,17496,239.0,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
4,4,16-05-2020 13:12:28,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,6,нет,Тбилиси,2 гр,0.0094,2390,218,6515,89.0,,,,,,,,,2 ECSTASY << PACO RABANNE >>
5,5,16-05-2020 13:12:28,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,10,нет,Тбилиси,2 гр,0.0104,2685,245,7321,100.0,,,,,,,,,2 G Hybrid Marijuana Buds
6,6,16-05-2020 13:12:28,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0094,2390,218,6515,89.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
7,7,16-05-2020 13:12:28,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,6,нет,Тбилиси,3 гр,0.0125,3195,291,8711,119.0,,,,,,,,,3 ECSTASY << PACO RABANNE >>
8,8,16-05-2020 13:12:28,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,2,нет,Тбилиси,3 гр,0.0135,3491,318,9517,130.0,,,,,,,,,3 G Hybrid Marijuana Big Buds
9,9,16-05-2020 13:12:28,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,3 гр,0.0125,3195,291,8711,119.0,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
10,10,16-05-2020 13:12:28,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.011000000000000001,2819,257,7687,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
11,11,16-05-2020 13:12:28,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,2,нет,Тбилиси,3 гр,0.0121,3088,281,8419,115.0,,True,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
12,12,16-05-2020 13:12:28,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.032,8592,783,23426,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
13,13,16-05-2020 13:12:28,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0309,8055,734,21962,300.0,,,,,,,,,5 Grm Mdma Pure Quality A +++
14,14,16-05-2020 13:12:28,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,10 гр,0.0207,5343,487,14568,199.0,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
15,15,16-05-2020 13:12:28,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.04,10740,978,29282,400.0,,,,,,,,,gashish evro 10g
16,16,16-05-2020 13:12:28,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0777,20862,1901,56881,777.0,,,,,,,,,Gashish Evro 20gr
17,17,16-05-2020 13:12:28,Tbilisi,7cab566931,GEORGIAN MARIJUANA 44-GRAMM,True,1,нет,Тбилиси,44 гр,0.0474,13425,1223,36603,500.0,,,,,,,,,GEORGIAN MARIJUANA 44-GRAMM
18,18,16-05-2020 13:12:28,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1894,53700,4892,146411,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
19,19,16-05-2020 13:12:28,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 0.1 грамма (предзаказ скидка 10%),True,нет,5,Тбилиси,0.1 гр,0.0051,1305,119,3561,,,,45.0,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.1 gramma (predzakaz skidka 10%)
20,20,16-05-2020 13:12:28,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0101,2610,238,7122,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
21,21,16-05-2020 13:12:28,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,8,Тбилиси,0.5 гр,0.0078,2014,183,5490,75.0,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
22,22,16-05-2020 13:12:28,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0167,4296,391,11713,160.0,,,,,,,,,"""Kief"" Weed trichomes 1G"
