,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Didube,Дигоми,Gldani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
10,20-04-2020 04:15:16,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,,3,нет,Тбилиси,2 гр,0.0108,5842,2165,193,79,True,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
11,20-04-2020 04:15:16,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA. Варкетили,,1,нет,Тбилиси,2 гр,0.0096,5176,1918,171,70,True,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA. Varketili
12,20-04-2020 04:15:16,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.Авламбари,,2,нет,Тбилиси,2 гр,0.0096,5176,1918,171,70,True,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
13,20-04-2020 04:15:16,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,2,нет,Тбилиси,2 гр,0.0639,34754,12878,1149,470,True,,,,,,,,,,,,Cocaine Pure VHQ 2 g
14,20-04-2020 04:15:16,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,,1,нет,Тбилиси,2 гр,0.0574,32535,12056,1076,440,True,,,,,,,,,,,,Kokain HQ 2g.
15,20-04-2020 04:15:16,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0116,6285,2329,208,85,,,True,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
16,20-04-2020 04:15:16,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,8,нет,Тбилиси,3 гр,0.0163,8799,3261,291,119,,,,True,True,,,,,,,,3g superskunk top class buds. Indica
17,20-04-2020 04:15:16,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA Варкетили,,1,нет,Тбилиси,3 гр,0.0144,7764,2877,257,105,True,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA Varketili
18,20-04-2020 04:15:16,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,,2,нет,Тбилиси,3 гр,0.0144,7764,2877,257,105,True,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
19,20-04-2020 04:15:16,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 3g.,,1,нет,Тбилиси,3 гр,0.0959,52131,19317,1724,705,True,,,,,,,,,,,,Cocaine Pure VHQ 3g.
20,20-04-2020 04:15:16,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 3g.,,2,нет,Тбилиси,3 гр,0.091,51021,18906,1687,690,True,,,,,,,,,,,,VHQ BEST Cocaine 3g.
21,20-04-2020 04:15:16,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (300 арагвели),,3,нет,Тбилиси,4 гр,0.0075,4067,1507,134,55,True,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
22,20-04-2020 04:15:16,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (Авлабври),,1,нет,Тбилиси,4 гр,0.0075,4067,1507,134,55,True,,,,,,,,,,,,N booom 4 shtuki (Avlabvri)
23,20-04-2020 04:15:16,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (Темка),,1,нет,Тбилиси,4 гр,0.0075,4067,1507,134,55,True,,,,,,,,,,,,N booom 4 shtuki (Temka)
24,20-04-2020 04:15:16,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (вазисубани),,1,нет,Тбилиси,4 гр,0.0075,4067,1507,134,55,True,,,,,,,,,,,,N booom 4 shtuki (vazisubani)
25,20-04-2020 04:15:16,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (глдани),,4,нет,Тбилиси,4 гр,0.0075,4067,1507,134,55,,,,,True,,,,,,,,N booom 4 shtuki (gldani)
26,20-04-2020 04:15:16,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,,3,нет,Тбилиси,5 гр,0.0273,14715,5453,487,199,True,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
