,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,Vazisubani,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
0,0,08-05-2020 11:28:48,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,True,4,нет,Тбилиси,0.5 гр,0.0134,9635,3510,319,130.0,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
1,1,08-05-2020 11:28:48,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,,4,нет,Тбилиси,1 гр,0.0056,4076,1485,135,55.0,True,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
2,2,08-05-2020 11:28:48,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,,3,нет,Тбилиси,1 гр,0.0058,4225,1539,140,57.0,True,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
3,3,08-05-2020 11:28:48,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,,5,нет,Тбилиси,1 гр,0.0056,4076,1485,135,55.0,True,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
4,4,08-05-2020 11:28:48,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,,10,нет,Тбилиси,1 гр,0.0307,22161,8073,734,299.0,True,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
5,5,08-05-2020 11:28:48,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,,2,нет,Тбилиси,1 гр,0.0239,17417,6345,577,235.0,True,,,,,,,,,,Cocaine Pure VHQ 1g
6,6,08-05-2020 11:28:48,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,,1,нет,Тбилиси,1 гр,0.0242,17788,6480,589,240.0,True,,,,,,,,,,VHQ BEST Cocaine 1g.
7,7,08-05-2020 11:28:48,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,,,1,нет,Тбилиси,1 гр,0.0042,3039,1107,101,41.0,True,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
8,8,08-05-2020 11:28:48,Tbilisi,61df6a1c90,Метадон 1гр,,,1,нет,Тбилиси,1 гр,0.0833,66705,24300,2208,900.0,True,,,,,,,,,,Metadon 1gr
9,9,08-05-2020 11:28:48,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,True,,2,нет,Тбилиси,1 гр,0.0246,17714,6453,586,239.0,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
10,10,08-05-2020 11:28:48,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,,,2,нет,Тбилиси,2 гр,0.0091,6596,2403,218,89.0,True,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
11,11,08-05-2020 11:28:48,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,,6,нет,Тбилиси,2 гр,0.0102,7412,2700,245,100.0,True,,,,,,,,,,2 G Hybrid Marijuana Buds
12,12,08-05-2020 11:28:48,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,,1,нет,Тбилиси,2 гр,0.0092,7338,2673,243,99.0,True,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
13,13,08-05-2020 11:28:48,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,,4,нет,Тбилиси,2 гр,0.0091,6596,2403,218,89.0,True,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
14,14,08-05-2020 11:28:48,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,,3,нет,Тбилиси,2 гр,0.0072,5188,1890,172,70.0,True,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
15,15,08-05-2020 11:28:48,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,True,6,нет,Тбилиси,2 гр,0.0091,6596,2403,218,89.0,,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
16,16,08-05-2020 11:28:48,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,,2,нет,Тбилиси,3 гр,0.0122,8820,3213,292,119.0,True,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
17,17,08-05-2020 11:28:48,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,,,1,нет,Тбилиси,3 гр,0.0132,9635,3510,319,130.0,True,,,,,,,,,,3 G Hybrid Marijuana Big Buds
18,18,08-05-2020 11:28:48,Tbilisi,7c395c455d,3 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,,1,нет,Тбилиси,3 гр,0.0129,10302,3753,341,139.0,True,,,,,,,,,,3 marijuana BUDS northen lights 24% THC ShIShKI!!!
19,19,08-05-2020 11:28:48,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,,6,нет,Тбилиси,3 гр,0.0108,7782,2835,258,105.0,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
20,20,08-05-2020 11:28:48,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,,,9,нет,Тбилиси,3 гр,0.0102,7412,2700,245,100.0,True,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
21,21,08-05-2020 11:28:48,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 3g (TOP)(VHQ),,,2,нет,Тбилиси,3 гр,0.0117,8523,3105,282,115.0,True,,,,,,,,,,THE BEST GAGARIN WEED 3g (TOP)(VHQ)
22,22,08-05-2020 11:28:48,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,,2,нет,Тбилиси,5 гр,0.0312,23717,8640,785,320.0,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
23,23,08-05-2020 11:28:48,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,,7,нет,Тбилиси,5 гр,0.0121,8820,3213,292,119.0,,,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
24,24,08-05-2020 11:28:48,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,,2,нет,Тбилиси,5 гр,0.018000000000000002,12970,4725,429,175.0,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
25,25,08-05-2020 11:28:48,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,,2,нет,Тбилиси,10 гр,0.0203,14749,5373,488,199.0,,,True,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
26,26,08-05-2020 11:28:48,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",True,,1,нет,Тбилиси,10 гр,0.0406,29573,10773,979,399.0,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
27,27,08-05-2020 11:28:48,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,,,1,нет,Тбилиси,10 гр,0.0336,24459,8910,810,330.0,True,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
28,28,08-05-2020 11:28:48,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 10g (TOP)(VHQ),,,2,нет,Тбилиси,10 гр,0.0336,24459,8910,810,330.0,True,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ)
29,29,08-05-2020 11:28:48,Tbilisi,c225d2f67d,гашиш евро 10г,,,2,нет,Тбилиси,10 гр,0.0391,29647,10800,981,400.0,True,,,,,,,,,,gashish evro 10g
30,30,08-05-2020 11:28:48,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,,1,нет,Тбилиси,20 гр,0.0386,28090,10233,930,379.0,,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
31,31,08-05-2020 11:28:48,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,,1,нет,Тбилиси,20 гр,0.0759,57589,20979,1906,777.0,True,,,,,,,,,,Gashish Evro 20gr
32,32,08-05-2020 11:28:48,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,,1,нет,Тбилиси,60 гр,0.185,148234,54000,4907,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
33,33,08-05-2020 11:28:48,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,True,,1,нет,Тбилиси,100 гр,0.1678,122219,44523,4046,1649.0,,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
34,34,08-05-2020 11:28:48,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",,,нет,3,Тбилиси,0.7 гр,0.0107,7782,2835,258,105.0,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
35,35,08-05-2020 11:29:20,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",,,нет,6,Тбилиси,1 гр,0.0164,11859,4320,393,160.0,True,,,,,,,,,,"""Kief"" Weed trichomes 1G"
36,36,08-05-2020 11:29:20,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",,,нет,1,Тбилиси,1 гр,0.0138,10006,3645,331,135.0,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
37,37,08-05-2020 11:29:20,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,,нет,3,Тбилиси,2 гр,0.0217,15565,5670,515,210.0,True,,,,,,,,,,✨✨2gram. MDMA✨✨
38,38,08-05-2020 11:29:20,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,,нет,5,Тбилиси,2 гр,0.0382,27349,9963,905,369.0,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
