,time_stamp,region,sell_code,sell_name,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Vake,Nadzaladevi,Батуми,Центр,desc_en
0,15-06-2020 01:00:57,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0147,10129,3922,347,129,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,15-06-2020 01:00:57,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,,5,нет,Тбилиси,0.25 гр,0.0122,8295,3228,285,,True,120,,,,,,Iranian Sirec 0.25g.
2,15-06-2020 01:00:57,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,1,нет,Тбилиси,0.5 гр,0.0033,2212,861,76,,True,32,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,15-06-2020 01:00:57,Tbilisi,6P9R,RickNMorty,VHQ Hibryd Photo Strains(Sativa) High THC 26%+ 0.5G,,11,нет,Тбилиси,0.5 гр,0.0036,2419,942,83,,,35,True,,,,,VHQ Hibryd Photo Strains(Sativa) High THC 26%+ 0.5G
4,15-06-2020 01:00:57,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0087,5875,2287,202,,,85,True,True,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
5,15-06-2020 01:00:57,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,4,нет,Тбилиси,3 гр,0.007,4769,1856,164,,True,69,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
6,15-06-2020 01:00:57,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,4 гр,0.0143,9677,3766,333,,,140,True,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
7,15-06-2020 01:00:57,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),,9,нет,Тбилиси,5 гр,0.0101,6843,2663,235,,True,99,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
8,15-06-2020 01:00:57,Tbilisi,2LY77,SveetWeed,10 - GRAMM BEASTWEED,,5,нет,Тбилиси,10 гр,0.0186,13824,5380,476,,True,200,,,,,,10 - GRAMM BEASTWEED
9,15-06-2020 01:00:57,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,5,нет,Тбилиси,10 гр,0.0203,13755,5353,473,,True,199,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
10,15-06-2020 01:00:57,Tbilisi,8B31,GEOWEEDSHOP,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",,6,нет,Тбилиси,10 гр,0.0097,6497,2529,224,,True,94,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
11,15-06-2020 01:00:57,Tbilisi,LGRP8,Walker12,Химка !! 10 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,10 гр,0.0064,4493,1749,155,,,65,,,True,,,Himka !! 10 g %%5%% skidka novinka !!!!
12,15-06-2020 01:00:57,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0464,34561,13450,1189,,True,500,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
13,15-06-2020 01:00:57,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2059,138244,53800,4756,,True,2000,,,,,,Metamferamin ratsemat 60 g (mini-opt)
14,15-06-2020 01:00:57,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G Same Day,,нет,2,Тбилиси,0.5 гр,0.0163,11060,4304,381,,True,160,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G Same Day
15,15-06-2020 01:00:57,Tbilisi,6P9R,RickNMorty,New !!! VHQ Ketamine Imported!! New!!! 0.5G,,нет,2,Тбилиси,0.5 гр,0.0112,7603,2959,262,,True,110,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
16,15-06-2020 01:00:57,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,нет,14,Тбилиси,0.5 гр,0.003,2005,780,69,,,29,True,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
17,15-06-2020 01:00:57,Tbilisi,6P9R,RickNMorty,New !!! VHQ Ketamine Imported!! New!!! 1G,,нет,1,Тбилиси,1 гр,0.0163,11060,4304,381,,True,160,,,,,,New !!! VHQ Ketamine Imported!! New!!! 1G
18,15-06-2020 01:00:57,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),,нет,20,Тбилиси,1 гр,0.0357,24193,9415,832,,True,350,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
19,15-06-2020 01:00:57,Tbilisi,6P9R,RickNMorty,New !!! VHQ Ketamine Imported!! New!!! 2G,,нет,1,Тбилиси,2 гр,0.0306,20737,8070,713,,True,300,,,,,,New !!! VHQ Ketamine Imported!! New!!! 2G
20,15-06-2020 01:00:57,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,8,Тбилиси,2 гр,0.038,25506,9926,878,,True,369,,,,,,❄❄2g HQ COCAINE❄❄
21,15-06-2020 01:00:57,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,6,Тбилиси,3 гр,0.0597,40022,15575,1377,,True,579,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
22,15-06-2020 01:00:57,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0408,27649,10760,951,,True,400,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
23,15-06-2020 01:00:57,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0561,38017,14795,1308,,True,550,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
24,15-06-2020 01:00:57,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.024,16244,6322,559,,True,235,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
25,15-06-2020 01:00:57,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0245,16589,6456,571,,True,240,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
26,15-06-2020 01:00:57,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0235,15898,6187,547,,True,230,,,,,,5 gr top buds white widow wishki THC 25% VHQ
27,15-06-2020 01:00:57,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0245,16589,6456,571,,True,240,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
28,15-06-2020 01:00:57,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0245,16589,6456,571,,True,240,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
29,15-06-2020 01:00:57,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0235,15898,6187,547,,True,230,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
30,15-06-2020 01:00:57,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0203,15138,5891,521,,True,219,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
31,15-06-2020 01:00:57,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0258,17280,6725,595,,True,250,,,,,,MARIXYANA - INDICA - 5 G.
32,15-06-2020 01:00:57,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.024,16244,6322,559,,True,235,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
33,15-06-2020 01:00:57,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.255,190000,87429,6482,,True,,,,,,,reagent 25i nbome. 5gr
