,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,26-03-2020 15:12:21,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,8,нет,Тбилиси,0.25 гр,0.0263,14957,5406,490,190.0,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,26-03-2020 15:12:21,Tbilisi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,True,4,нет,Тбилиси,0.25 гр,0.027999999999999997,15744,5690,516,200.0,,,,,,,,,,METHADONE 0.25 THE BEST QUALITY VHQ
2,2,26-03-2020 15:12:21,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,,2,нет,Тбилиси,0.5 гр,0.055999999999999994,31489,11380,1032,400.0,True,,,,,,,,,Metadon VHQ 0.5 24/7
3,3,26-03-2020 15:12:21,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,6,нет,Тбилиси,1 гр,0.006999999999999999,3936,1423,129,50.0,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
4,4,26-03-2020 15:12:21,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,13,нет,Тбилиси,1 гр,0.006999999999999999,3936,1423,129,50.0,True,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
5,5,26-03-2020 15:12:21,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,8,нет,Тбилиси,1 гр,0.006,3385,1223,111,43.0,True,,,,,,,,,Amsterdam weed sativa 1gr
6,6,26-03-2020 15:12:21,Tbilisi,28bf667d16,Hashish Ice-o-lator 1g скидка с бтк 5%,,1,нет,Тбилиси,1 гр,0.0102,5983,2162,196,76.0,True,,,,,,,,,Hashish Ice-o-lator 1g skidka s btk 5%
7,7,26-03-2020 15:12:21,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,3,нет,Тбилиси,1 гр,0.0052,3228,1166,106,41.0,True,,,,,,,,,Hybrid Ana-sha 1G.
8,8,26-03-2020 15:12:21,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),True,13,нет,Тбилиси,1 гр,0.021,11808,4268,387,150.0,,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
9,9,26-03-2020 15:12:21,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1146,70850,25605,2321,900.0,True,,,,,,,,,Metadon 1gr
10,10,26-03-2020 15:12:21,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),,7,нет,Тбилиси,2 гр,0.0112,6298,2276,206,80.0,True,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
11,11,26-03-2020 15:12:21,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,2 гр,0.0111,6219,2248,204,79.0,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
