,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,24-03-2020 08:56:17,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,9,нет,Тбилиси,0.25 гр,0.0278,15367,5368,502,190,,,,,,,,,,,"Metadon VHQ 0,25"
1,24-03-2020 08:56:17,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,2,нет,Тбилиси,0.5 гр,0.0585,32353,11300,1056,400,,,,,,,,,,,Metadon VHQ 0.5 24/7
2,24-03-2020 08:56:17,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0161,8816,3079,288,109,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
3,24-03-2020 08:56:17,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0066,3640,1271,119,45,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
4,24-03-2020 08:56:17,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,1 гр,0.0064,3559,1243,116,44,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
5,24-03-2020 08:56:17,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0073,4044,1413,132,50,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
6,24-03-2020 08:56:17,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,6,нет,Тбилиси,1 гр,0.0067,3721,1300,121,46,,,,,,,,,,,Amsterdam weed sativa 1gr
7,24-03-2020 08:56:17,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0265,15287,5339,499,189,,,,,,,,,,,Cocaine Pure VHQ 1g
8,24-03-2020 08:56:17,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0288,16581,5791,541,205,,,,,,,,,,,VHQ BEST Cocaine 1g.
9,24-03-2020 08:56:17,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,True,2,нет,Тбилиси,1 гр,0.0031,1860,650,61,23,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
