,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,€,Дигоми,Varketili,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,13-02-2020 14:42:17,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,3,нет,Тбилиси,0.25 гр,0.0058,3816,1482,132,60.0,,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,13-02-2020 14:42:17,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,4,нет,Тбилиси,0.25 гр,0.0157,11448,4446,395,180.0,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,13-02-2020 14:42:17,Tbilisi,32e645c201,"methadone 0,29 gr",,1,нет,Тбилиси,0.29 гр,0.0201,13356,5187,460,210.0,True,,,,,,,,,,,"methadone 0,29 gr"
3,3,13-02-2020 14:42:17,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,15,нет,Тбилиси,0.33 гр,0.0055,3816,1482,132,60.0,,,,,,,,,,,,"A PVP 0,33 VHQ"
4,4,13-02-2020 14:42:17,Tbilisi,013e75d78f,A - P v P Best VHQ 0.39 g Tolka magnit .,,1,нет,Тбилиси,0.39 гр,0.0101,6710,2608,232,,,True,97.0,,,,,,,,,A - P v P Best VHQ 0.39 g Tolka magnit .
5,5,13-02-2020 14:42:17,Tbilisi,366326d4d6,"0,5 MDMA / White sparks / purity 93%",True,7,нет,Тбилиси,0.5 гр,0.0067,4389,1704,151,69.0,,,,,,,,,,,,"0,5 MDMA / White sparks / purity 93%"
6,6,13-02-2020 14:42:17,Tbilisi,ce030318fd,"0.5 Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,2,нет,Тбилиси,0.5 гр,0.0244,17808,6916,614,280.0,,,,,,,,,,,,"0.5 Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
7,7,13-02-2020 14:42:17,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,7,нет,Тбилиси,0.5 гр,0.0028,1844,716,64,29.0,,,,True,True,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
8,8,13-02-2020 14:42:17,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,7,нет,Тбилиси,0.5 гр,0.0106,6996,2717,241,110.0,,,,,,,,,,,,"Cocaine, 0.5 g"
9,9,13-02-2020 14:42:17,Tbilisi,013e75d78f,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",,1,нет,Тбилиси,0.5 гр,0.0043,2862,1112,99,45.0,,,,True,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
10,10,13-02-2020 14:42:17,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0058,3816,1482,132,60.0,,,,,,,,,,,,Ketamine 0.5g
11,11,13-02-2020 14:42:17,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0261,19080,7410,658,300.0,,,,,,,,,,,,Metadon VHQ 0.5 24/7
