,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Saburtalo,Old Tbilisi (Старый город),Авлобари,Дигоми,Nadzaladevi,Gldani,€,Центр,Батуми,Кутаиси,desc_en
100,100,03-05-2020 23:02:51,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0267,6800,604,18182,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
101,101,03-05-2020 23:02:51,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0213,5440,483,14545,200.0,,,,,,,,,,,,Rabota na marki (kur'er)
102,102,03-05-2020 23:02:51,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6139,408000,36215,1090895,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
103,103,03-05-2020 23:04:27,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0037,950,84,2532,,,,,,,,,32.0,True,,,Batumi n-booom 2 shtuki
104,104,03-05-2020 23:04:27,Batumi,54915c4374,Батуми н-бооом 5 штук,,1,нет,Батуми,5 гр,0.0063,1782,158,4747,,,,,,,,,60.0,,True,,Batumi n-booom 5 shtuk
105,105,03-05-2020 23:04:27,Batumi,3c4662c591,шишки марихуаны 5G,,7,нет,Батуми,5 гр,0.032,8160,724,21818,300.0,,,,,,,,,True,,,shishki marihuany 5G
106,106,03-05-2020 23:04:27,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2344,59840,5311,159998,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
107,107,03-05-2020 23:04:27,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,нет,10,Батуми,4 гр,0.0065,1663,147,4431,,,,,,,,,56.0,,True,,Marki N-VoooooM!!!! 4 shtuki
108,108,03-05-2020 23:04:27,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,8,Батуми,10 гр,0.0117,2992,266,8000,110.0,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 10 sht"
109,109,03-05-2020 23:04:27,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,2720,241,7273,100.0,,,,,,,,,,True,,kur'er v Batumi
110,110,03-05-2020 23:04:27,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0242,6800,604,18182,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
111,111,03-05-2020 23:04:27,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0242,6800,604,18182,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
112,112,03-05-2020 23:04:27,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6124,408000,36215,1090895,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
113,113,03-05-2020 23:04:27,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0533,13600,1207,36363,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
114,114,03-05-2020 23:05:40,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.023,5984,531,16000,220.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
115,115,03-05-2020 23:05:40,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0554,14144,1255,37818,520.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
116,116,03-05-2020 23:05:40,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0407,10608,942,28363,390.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
117,117,03-05-2020 23:05:40,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0213,5440,483,14545,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
