,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Saburtalo,Old Tbilisi (Старый город),Авлобари,Дигоми,Nadzaladevi,Gldani,€,Центр,Батуми,Кутаиси,desc_en
24,24,03-05-2020 23:01:04,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,3,нет,Тбилиси,1.5 гр,0.0068,1904,169,5091,70.0,,,,True,True,True,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
25,25,03-05-2020 23:01:04,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,5,нет,Тбилиси,2 гр,0.0096,2421,215,6473,89.0,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
26,26,03-05-2020 23:01:04,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,2 гр,0.0096,2421,215,6473,89.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
27,27,03-05-2020 23:01:04,Tbilisi,4659482266,2g super Skunk top class buds.,,7,нет,Тбилиси,2 гр,0.0091,2312,205,6182,85.0,,,,,,,True,,,,,2g super Skunk top class buds.
28,28,03-05-2020 23:01:04,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0075,1904,169,5091,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
29,29,03-05-2020 23:01:04,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,7,нет,Тбилиси,2 гр,0.0095,2421,215,6473,89.0,,,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
30,30,03-05-2020 23:01:04,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,4,нет,Тбилиси,2 гр,0.0506,13056,1159,34909,480.0,,,,,,,,,,,,VHQ BEST Cocaine 2g.
31,31,03-05-2020 23:01:04,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,4,нет,Тбилиси,2 гр,0.0091,2312,205,6182,85.0,,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
32,32,03-05-2020 23:01:04,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0128,3237,287,8654,119.0,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
33,33,03-05-2020 23:01:04,Tbilisi,366326d4d6,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,3 гр,0.0128,3237,287,8654,119.0,,,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
34,34,03-05-2020 23:01:04,Tbilisi,4659482266,3g superskunk top class buds.,,4,нет,Тбилиси,3 гр,0.0128,3237,287,8654,119.0,,,,,,,True,,,,,3g superskunk top class buds.
35,35,03-05-2020 23:01:04,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0113,2856,254,7636,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
