,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Nadzaladevi,€,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
24,11-02-2020 06:57:53,Tbilisi,ITJ,seazon,Megrelian strong weed VIPsort!!! 1gr. sale sale sale !!!,True,1,нет,Тбилиси,1 гр,0.0026,1849,716,63,29,,,,,,,,,,,,,Megrelian strong weed VIPsort!!! 1gr. sale sale sale !!!
25,11-02-2020 06:57:53,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,4,нет,Тбилиси,1 гр,0.0453,31885,12350,1092,500,,,,,,,,,,,,,Metadon VHQ 1 24/7
26,11-02-2020 06:57:53,Tbilisi,UJP9,420Inc,Morocco Hash Ice-Scream 1G High THc,True,1,нет,Тбилиси,1 гр,0.0075,4783,1853,164,75,,,,,,,,,,,,,Morocco Hash Ice-Scream 1G High THc
27,11-02-2020 06:57:53,Tbilisi,TDSHF,THC,Weed From Gali(THC 23%) 1gr,,1,нет,Тбилиси,1 гр,0.0048,3189,1235,109,50,,,,True,,,,,,,,,Weed From Gali(THC 23%) 1gr
28,11-02-2020 06:57:53,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,3,нет,Тбилиси,1 гр,0.0143,9566,3705,328,150,,,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
29,11-02-2020 06:57:53,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,6,нет,Тбилиси,1 гр,0.0198,12690,4915,435,199,,True,,,,,,,,,,,Kokain KOLUMBIA 1g
30,11-02-2020 06:57:53,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.043,28697,11115,983,450,,,,,,,,,,,,,Metadon 1gr
31,11-02-2020 06:58:39,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.043,28697,11115,983,450,,,,,,,,,,,,,Metadon 1gr
32,11-02-2020 06:58:39,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0398,25508,9880,874,400,,,,,,,,,,,,,"Metadon, 1gr"
33,11-02-2020 06:58:39,Tbilisi,7R3WM,RastaShop,2 gr. Blue Berry Kush 100% Natural/Indika/ Import,,3,нет,Тбилиси,2 гр,0.008,5102,1976,175,80,True,True,,,,,,,,,,,2 gr. Blue Berry Kush 100% Natural/Indika/ Import
