,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Дигоми,Gldani,Varketili,Авлобари,Nadzaladevi,€,Old Tbilisi (Старый город),Центр,Батуми,Кутаиси,desc_en
0,04-05-2020 07:54:00,Tbilisi,3Y9,HIGHTHC,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,0.5 гр,0.0038,2545,952,85,35,,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,04-05-2020 07:54:00,Tbilisi,3Y9,HIGHTHC,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,3,нет,Тбилиси,0.5 гр,0.0037,2473,925,82,34,,,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
2,04-05-2020 07:54:00,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,2,нет,Тбилиси,0.5 гр,0.0059,4000,1496,133,55,True,,,,,,,,,,,,HQ Euro Hashish 0.5 g
3,04-05-2020 07:54:00,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,4,нет,Тбилиси,0.5 гр,0.0029,1964,734,65,27,True,True,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,04-05-2020 07:54:00,Tbilisi,A3SS3,Parrots,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,11,нет,Тбилиси,0.5 гр,0.0028,2109,789,70,29,,True,True,True,True,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
5,04-05-2020 07:54:00,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,1 гр,0.0059,4000,1496,133,55,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
6,04-05-2020 07:54:00,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,5,нет,Тбилиси,1 гр,0.0059,4000,1496,133,55,,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
7,04-05-2020 07:54:00,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,5,нет,Тбилиси,1 гр,0.005,3709,1387,123,51,,True,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
8,04-05-2020 07:54:00,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,1 гр,0.0062,4145,1550,138,57,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,04-05-2020 07:54:00,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0062,4145,1550,138,57,,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
10,04-05-2020 07:54:00,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,True,3,нет,Тбилиси,1 гр,0.0059,4000,1496,133,55,,,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
11,04-05-2020 07:54:00,Tbilisi,OX85,amnesia420,"1g LEMON SKUNK (Hybrid, more Sativa)",True,7,нет,Тбилиси,1 гр,0.0052,3491,1306,116,48,,,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
12,04-05-2020 07:54:00,Tbilisi,OX85,amnesia420,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0052,3491,1306,116,48,,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
13,04-05-2020 07:54:00,Tbilisi,OX85,amnesia420,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0052,3491,1306,116,48,,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
