,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Vazisubani,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,25-05-2020 22:56:50,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0109,7160,2705,240,100,,,,,,,,,,,Iranian Sirec 0.25g.
1,25-05-2020 22:56:50,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,True,4,нет,Тбилиси,0.5 гр,0.0033,2148,812,72,30,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
2,25-05-2020 22:56:51,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 1 Gr,True,1,нет,Тбилиси,1 гр,0.0057,3723,1407,125,52,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
3,25-05-2020 22:56:51,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0893,64437,24345,2159,900,,,,,,,,,,,Metadon 1gr
4,25-05-2020 22:56:51,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,11,нет,Тбилиси,5 гр,0.013,8520,3219,285,119,True,True,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
5,25-05-2020 22:56:51,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,10 гр,0.0217,14248,5383,477,199,,,True,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
6,25-05-2020 22:56:51,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0477,32218,12173,1079,450,,,,,,,,,,,Gashish Evro 10gr
7,25-05-2020 22:56:51,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,True,2,11,Тбилиси,20 гр,0.0436,28567,10793,957,399,True,,,,,,,,,,20 gr georgian weed. Package on magnet
8,25-05-2020 22:56:51,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0814,55630,21018,1864,777,,,,,,,,,,,Gashish Evro 20gr
9,25-05-2020 22:56:51,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0079,5728,2164,192,80,,,,,,,,,,,GABAGAMA 50 SHTUK
10,25-05-2020 22:56:51,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1985,143192,54100,4797,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
