,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,27-03-2020 05:13:58,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,11,нет,Тбилиси,0.12 гр,0.0138,8659,3146,285,110.0,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,27-03-2020 05:13:58,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,7,нет,Тбилиси,0.25 гр,0.0259,14957,5434,492,190.0,True,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
2,2,27-03-2020 05:13:58,Tbilisi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,,2,нет,Тбилиси,0.25 гр,0.0276,15744,5720,518,200.0,True,,,,,,,,,METHADONE 0.25 THE BEST QUALITY VHQ
3,3,27-03-2020 05:13:58,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0131,7794,2831,256,99.0,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,27-03-2020 05:13:58,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0551,31489,11440,1036,400.0,,,,,,,,,,Metadon VHQ 0.5 24/7
5,5,27-03-2020 05:13:58,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0152,8581,3117,282,109.0,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,6,27-03-2020 05:13:58,Tbilisi,dd631c4acf,🍃0.5 hush Gorilla Glue🍃,True,1,нет,Тбилиси,0.5 гр,0.0056,3149,1144,104,40.0,,,,,,,,,,🍃0.5 hush Gorilla Glue🍃
7,7,27-03-2020 05:13:58,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,1 гр,0.0069,3936,1430,130,50.0,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,8,27-03-2020 05:13:58,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,4,нет,Тбилиси,1 гр,0.0062,3543,1287,117,45.0,,True,,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,9,27-03-2020 05:13:58,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,8,нет,Тбилиси,1 гр,0.0069,3936,1430,130,50.0,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
10,10,27-03-2020 05:13:58,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,8,нет,Тбилиси,1 гр,0.0074,4251,1544,140,54.0,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
11,11,27-03-2020 05:13:58,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0271,16138,5863,531,205.0,,,,,,,,,,VHQ BEST Cocaine 1g.
12,12,27-03-2020 05:13:58,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,12,нет,Тбилиси,1 гр,0.0207,11808,4290,389,150.0,True,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
13,13,27-03-2020 05:13:58,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1128,70850,25740,2331,900.0,,,,,,,,,,Metadon 1gr
14,14,27-03-2020 05:13:58,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,1,нет,Тбилиси,1 гр,0.0152,8581,3117,282,109.0,,,,,,,,,,✨ 1g. MDMA ✨
15,15,27-03-2020 05:13:58,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),True,5,нет,Тбилиси,2 гр,0.011000000000000001,6298,2288,207,80.0,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
16,16,27-03-2020 05:13:58,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,3,нет,Тбилиси,2 гр,0.0109,6219,2259,205,79.0,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
17,17,27-03-2020 05:13:58,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,2,нет,Тбилиси,2 гр,0.0124,7085,2574,233,90.0,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
18,18,27-03-2020 05:13:58,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,7,нет,Тбилиси,2 гр,0.0109,6219,2259,205,79.0,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
19,19,27-03-2020 05:13:58,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,2 гр,0.0109,6219,2259,205,79.0,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
20,20,27-03-2020 05:13:58,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.011000000000000001,6219,2259,205,79.0,,,True,,,,,,,2g super Skunk top class buds. Indica
21,21,27-03-2020 05:13:58,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0146,8266,3003,272,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
22,22,27-03-2020 05:13:58,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 3 штуки,True,2,нет,Тбилиси,3 гр,0.0062,3868,1406,127,,,,,45.0,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 3 shtuki
23,23,27-03-2020 05:13:58,Tbilisi,4be7861731,metadon sirop 4ml,,1,нет,Тбилиси,4 гр,0.0092,5274,1916,174,67.0,True,,,,,,,,,metadon sirop 4ml
24,24,27-03-2020 05:13:58,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0221,12517,4547,412,159.0,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
25,25,27-03-2020 05:13:58,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0216,12202,4433,401,155.0,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
26,26,27-03-2020 05:13:58,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0401,25191,9152,829,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,27,27-03-2020 05:13:58,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0361,21491,7813,707,,,,,250.0,,,,,,5 gr mdma (skidka v bitkoin 5%)
28,28,27-03-2020 05:13:58,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),True,2,нет,Тбилиси,5 гр,0.0529,31489,11440,1036,400.0,,,,,,,,,,5g MDMA (IMPORTED)
29,29,27-03-2020 05:13:58,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,5 гр,0.0244,13776,5005,453,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,30,27-03-2020 05:13:58,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,5 гр,0.0069,4330,1573,142,55.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
31,31,27-03-2020 05:13:58,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,True,1,нет,Тбилиси,6 гр,0.0119,7479,2717,246,95.0,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
32,32,27-03-2020 05:13:58,Tbilisi,0dec0e1c48,10 gr georgian weed. Wholesale,,1,нет,Тбилиси,10 гр,0.0274,15666,5691,515,199.0,True,,,,,,,,,10 gr georgian weed. Wholesale
33,33,27-03-2020 05:13:58,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,3,нет,Тбилиси,10 гр,0.0329,18815,6835,619,239.0,True,,,,,,,,,10 gr marijuana buds. -indica-
34,34,27-03-2020 05:14:40,Tbilisi,64284550d9,10G ---> ONLY BUDS,True,1,нет,Тбилиси,10 гр,0.028999999999999998,16532,6006,544,210.0,,,,,,,,,,10G ---> ONLY BUDS
35,35,27-03-2020 05:14:40,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,2,нет,Тбилиси,10 гр,0.0551,31410,11411,1033,399.0,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
36,36,27-03-2020 05:14:40,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0504,28734,10439,945,365.0,,True,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
37,37,27-03-2020 05:14:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0369,21019,7636,692,267.0,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
38,38,27-03-2020 05:14:40,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0107,6691,2431,220,85.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
39,39,27-03-2020 05:14:40,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.053,31489,11440,1036,400.0,,,,,,,,,,gashish evro 10g
40,40,27-03-2020 05:14:40,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2511,157445,57200,5180,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
41,41,27-03-2020 05:14:40,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0502,31489,11440,1036,400.0,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
42,42,27-03-2020 05:14:40,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,нет,5,Тбилиси,0.15 гр,0.0209,11808,4290,389,150.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
43,43,27-03-2020 05:14:40,Tbilisi,f8a875c191,0.25G - METADON - VHQ,True,19,5,Тбилиси,0.25 гр,0.0279,15744,5720,518,200.0,,,,,,,,,,0.25G - METADON - VHQ
44,44,27-03-2020 05:14:40,Tbilisi,2dbb5960b9,Methadone HQ in city 0.75g,True,нет,1,Тбилиси,0.75 гр,0.0511,29127,10582,958,370.0,,,,,,,,,,Methadone HQ in city 0.75g
45,45,27-03-2020 05:14:40,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,3,Тбилиси,1.1 гр,0.0767,43297,15730,1425,550.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
46,46,27-03-2020 05:14:40,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,2,Тбилиси,1.4 гр,0.0967,55106,20020,1813,700.0,,,,,,,,,,Methadone HQ in city 1.4g
47,47,27-03-2020 05:14:40,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0279,15744,5720,518,200.0,,,,,,,,,,✨✨2gram. MDMA✨✨
48,48,27-03-2020 05:14:40,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0515,29049,10553,956,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
49,49,27-03-2020 05:14:40,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0823,46446,16874,1528,590.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
50,50,27-03-2020 05:14:40,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0552,31489,11440,1036,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
51,51,27-03-2020 05:14:40,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0275,15666,5691,515,199.0,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
52,52,27-03-2020 05:14:40,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0759,43297,15730,1425,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
53,53,27-03-2020 05:14:40,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0275,15666,5691,515,199.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
54,54,27-03-2020 05:14:40,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,9,Тбилиси,5 гр,0.0275,15666,5691,515,199.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
55,55,27-03-2020 05:14:40,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0275,15666,5691,515,199.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
56,56,27-03-2020 05:14:40,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0275,15666,5691,515,199.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
57,57,27-03-2020 05:14:40,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0275,15666,5691,515,199.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
58,58,27-03-2020 05:14:40,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0275,17240,6263,567,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
59,59,27-03-2020 05:14:40,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0418,23617,8580,777,300.0,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
60,60,27-03-2020 05:14:40,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0275,15666,5691,515,199.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
61,61,27-03-2020 05:14:40,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 5 G,True,нет,5,Тбилиси,5 гр,0.2092,118083,42900,3885,1500.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 5 G
62,62,27-03-2020 05:14:40,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,14,Тбилиси,5 гр,0.0251,15744,5720,518,200.0,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
63,63,27-03-2020 05:14:40,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.303,190000,87429,6262,,,,,,,,,,,reagent 25i nbome. 5gr
64,64,27-03-2020 05:14:40,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3766,236167,85800,7770,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
65,65,27-03-2020 05:14:40,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1212,68410,24853,2251,869.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
66,66,27-03-2020 05:15:34,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0265,14957,5434,492,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
