,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Didube,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
20,20,06-04-2020 13:11:32,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,2 гр,0.0097,5441,1925,180,70.0,True,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
21,21,06-04-2020 13:11:32,Tbilisi,28bf667d16,LSD Hoffman 300UG 2 piece,,1,нет,Тбилиси,2 гр,0.0151,8551,3025,283,110.0,True,,,,,,,,,,LSD Hoffman 300UG 2 piece
22,22,06-04-2020 13:11:32,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,,6,нет,Тбилиси,2 гр,0.0044,2721,963,90,35.0,True,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
23,23,06-04-2020 13:11:32,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,2,нет,Тбилиси,2 гр,0.0044,2721,963,90,35.0,True,True,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
24,24,06-04-2020 13:11:32,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0423,24874,8800,823,320.0,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
25,25,06-04-2020 13:11:32,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0409,23320,8250,772,300.0,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
26,26,06-04-2020 13:11:32,Tbilisi,64284550d9,5G ---> ONLY BUDS,,6,нет,Тбилиси,5 гр,0.0145,8162,2888,270,105.0,,True,,,,,,,,,5G ---> ONLY BUDS
27,27,06-04-2020 13:11:32,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0243,13603,4813,450,175.0,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
28,28,06-04-2020 13:11:32,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,True,1,нет,Тбилиси,5 гр,0.0094,5830,2063,193,75.0,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
29,29,06-04-2020 13:11:32,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0069,4275,1513,141,55.0,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
