,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Vake,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,19-05-2020 19:48:30,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,2,нет,Тбилиси,0.3 гр,0.0098,3221,234,7000,,,,,,,,,,,0.3 a-pvp white
1,19-05-2020 19:48:30,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0163,4241,387,11510,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,19-05-2020 19:48:30,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.0027,720,66,1955,27,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,19-05-2020 19:48:30,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0238,6267,573,17012,235,,,,,,,,,,Cocaine Pure VHQ 1g
4,19-05-2020 19:48:30,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0241,6401,585,17374,240,,,,,,,,,,VHQ BEST Cocaine 1g.
5,19-05-2020 19:48:30,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.083,24003,2193,65153,900,,,,,,,,,,Metadon 1gr
6,19-05-2020 19:48:30,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,4,нет,Тбилиси,1 гр,0.0245,6374,582,17302,239,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,19-05-2020 19:48:30,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,2 гр,0.0091,2374,217,6443,89,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
8,19-05-2020 19:48:30,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,2 гр,0.0101,2667,244,7239,100,,,,,,,,,,2 G Hybrid Marijuana Buds
9,19-05-2020 19:48:30,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0072,1867,171,5067,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
10,19-05-2020 19:48:30,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,5,нет,Тбилиси,2 гр,0.0089,2347,214,6370,88,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
11,19-05-2020 19:48:30,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0122,3174,290,8615,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
12,19-05-2020 19:48:30,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,6,нет,Тбилиси,3 гр,0.0132,3467,317,9411,130,,,,,,,,,,3 G Hybrid Marijuana Big Buds
13,19-05-2020 19:48:30,Tbilisi,LYHBG,Playboy,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,3 гр,0.0122,3174,290,8615,119,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
14,19-05-2020 19:48:30,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0108,2800,256,7601,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
15,19-05-2020 19:48:30,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0122,3174,290,8615,119,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
16,19-05-2020 19:48:30,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,2,нет,Тбилиси,5 гр,0.0141,3707,339,10062,139,True,,,,,,,,,5 gr georgian weed. Package on magnet
17,19-05-2020 19:48:30,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0179,4667,426,12669,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,19-05-2020 19:48:30,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1166,30671,2802,83251,1150,,,,,,,,,,Cocaine Pure VHQ 5g.
19,19-05-2020 19:48:30,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1131,30671,2802,83251,1150,,,,,,,,,,VHQ BEST Cocaine 5g.
20,19-05-2020 19:48:30,Tbilisi,HWUW,opiopi,GABAGAMA 10 SHTUK,True,2,нет,Тбилиси,10 гр,0.0021,613,56,1665,23,,,,,,,,,,GABAGAMA 10 SHTUK
21,19-05-2020 19:48:30,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0442,12002,1096,32576,450,,,,,,,,,,Gashish Evro 10gr
22,19-05-2020 19:48:30,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0756,20723,1893,56248,777,,,,,,,,,,Gashish Evro 20gr
23,19-05-2020 19:48:30,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1844,53340,4873,144784,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
24,19-05-2020 19:48:30,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.01,2624,237,7125,,,,,90,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
25,19-05-2020 19:48:30,Tbilisi,A3I9,Joookerrr,"MDMA ""цунами удовольствия) 0.5 грамм",True,нет,10,Тбилиси,0.5 гр,0.0081,2134,195,5791,80,,,,,,,,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
26,19-05-2020 19:48:30,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,7,Тбилиси,0.5 гр,0.0076,2000,183,5429,75,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
27,19-05-2020 19:48:30,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0162,4267,390,11583,160,,,,,,,,,,"""Kief"" Weed trichomes 1G"
28,19-05-2020 19:48:30,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0378,9841,899,26713,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
29,19-05-2020 19:48:30,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0593,15442,1411,41915,579,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
30,19-05-2020 19:48:30,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0406,10668,975,28957,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
31,19-05-2020 19:48:30,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0142,3734,341,10135,140,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
32,19-05-2020 19:48:30,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0558,14669,1340,39815,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
33,19-05-2020 19:48:30,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0238,6267,573,17012,235,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
34,19-05-2020 19:49:04,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0243,6401,585,17374,240,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
35,19-05-2020 19:49:04,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,9,Тбилиси,5 гр,0.0233,6134,560,16650,230,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
36,19-05-2020 19:49:04,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0161,4241,387,11510,159,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
37,19-05-2020 19:49:04,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0243,6401,585,17374,240,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
38,19-05-2020 19:49:04,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0243,6401,585,17374,240,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
39,19-05-2020 19:49:04,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0233,6134,560,16650,230,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
40,19-05-2020 19:49:04,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0202,5841,534,15854,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
