,time_stamp,region,sell_code,sell_name,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,Saburtalo,Old Tbilisi (Старый город),€,Авлобари,Батуми,Центр,Кутаиси,desc_en
24,07-04-2020 12:43:20,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,,3,нет,Тбилиси,2 гр,0.0042,2674,954,90,35,True,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
25,07-04-2020 12:43:20,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,2,нет,Тбилиси,2 гр,0.0042,2674,954,90,35,True,,True,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
26,07-04-2020 12:43:20,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩,,2,нет,Тбилиси,2 гр,0.012,6800,2425,229,89,True,,,,,,,,,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩
27,07-04-2020 12:43:20,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0147,8328,2970,280,109,True,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
28,07-04-2020 12:43:20,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0409,24450,8720,823,320,True,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,07-04-2020 12:43:20,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.0395,22922,8175,771,300,True,,,,,,,,,5 Grm Mdma Pure Quality A +++
30,07-04-2020 12:43:20,Tbilisi,ABOAB,ProGrow,5G ---> ONLY BUDS,,5,нет,Тбилиси,5 гр,0.0127,7259,2589,244,95,,,True,,,,,,,5G ---> ONLY BUDS
31,07-04-2020 12:43:20,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),,1,нет,Тбилиси,5 гр,0.0178,10239,3652,344,134,True,,,,,,,,,5gr marijuana buds -indica- (hight quality)
32,07-04-2020 12:43:20,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0235,13371,4769,450,175,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
33,07-04-2020 12:43:20,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,True,1,нет,Тбилиси,5 гр,0.0091,5731,2044,193,75,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
34,07-04-2020 12:44:16,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.053,30487,10873,1026,399,,,True,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
35,07-04-2020 12:44:16,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0485,27889,9946,938,365,,True,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
36,07-04-2020 12:44:16,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,1,3,Тбилиси,10 гр,0.0131,8263,2960,278,,True,,,True,100,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
37,07-04-2020 12:44:16,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.051,30563,10900,1028,400,True,,,,,,,,,gashish evro 10g
38,07-04-2020 12:44:16,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.099,59369,21173,1998,777,True,,,,,,,,,Gashish Evro 20gr
39,07-04-2020 12:44:16,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2415,152815,54500,5142,2000,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,07-04-2020 12:44:16,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.25 G.,,2,15,Тбилиси,0.25 гр,0.0228,12989,4633,437,170,True,,,,,,,,,METADON - 0.25 G.
41,07-04-2020 12:44:16,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 1 G. (SHISHKI) SALE 10% BTC,,1,1,Тбилиси,1 гр,0.0134,7641,2725,257,100,True,,,,,,,,,MARIXYANA - 1 G. (SHISHKI) SALE 10% BTC
42,07-04-2020 12:44:16,Tbilisi,A3I9,Joookerrr,MDMA 1 гр,,нет,2,Тбилиси,1 гр,0.0131,8263,2960,278,,True,,,,100,,,,,MDMA 1 gr
43,07-04-2020 12:44:16,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 2 грамма (порошок),,нет,1,Тбилиси,2 гр,0.0196,12395,4440,417,,True,,,,150,,,,,Buprenorfin!!! Analog suboteksa!!! 2 gramma (poroshok)
44,07-04-2020 12:44:16,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0268,15281,5450,514,200,True,,,,,,,,,✨✨2gram. MDMA✨✨
45,07-04-2020 12:44:16,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0495,28194,10055,949,369,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
46,07-04-2020 12:44:16,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0792,45080,16078,1517,590,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
47,07-04-2020 12:44:16,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0531,30563,10900,1028,400,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
48,07-04-2020 12:44:16,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0213,12225,4360,411,160,True,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
49,07-04-2020 12:44:16,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0731,42024,14988,1414,550,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
50,07-04-2020 12:44:16,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0225,12913,4605,434,169,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
