,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Тбилиси,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
24,24,05-06-2020 09:31:33,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0591,39960,15546,1388,579.0,,,True,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
25,25,05-06-2020 09:31:33,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0404,27606,10740,959,400.0,,,True,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,26,05-06-2020 09:31:33,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,True,1,2,Тбилиси,4 гр,0.0142,9662,3759,336,140.0,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
27,27,05-06-2020 09:31:33,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0708,48311,18795,1678,700.0,,,True,,,,,,,"""Kief"" Weed trichomes 5G"
28,28,05-06-2020 09:31:33,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0556,37958,14768,1319,550.0,,,True,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
29,29,05-06-2020 09:31:33,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,8,Тбилиси,5 гр,0.0238,16219,6310,563,235.0,,,True,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
30,30,05-06-2020 09:31:33,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0243,16564,6444,575,240.0,,,True,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
31,31,05-06-2020 09:31:33,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0233,15873,6176,551,230.0,,,True,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
32,32,05-06-2020 09:31:33,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0243,16564,6444,575,240.0,,,True,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
33,33,05-06-2020 09:31:33,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0243,16564,6444,575,240.0,,,True,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
34,34,05-06-2020 09:32:04,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0233,15873,6176,551,230.0,,,True,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
35,35,05-06-2020 09:32:04,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0201,15114,5880,525,219.0,,,True,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
36,36,05-06-2020 09:32:04,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0255,17254,6713,599,250.0,,,True,,,,,,,MARIXYANA - INDICA - 5 G.
37,37,05-06-2020 09:32:04,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0238,16219,6310,563,235.0,,,True,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
38,38,05-06-2020 09:32:04,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2531,190000,87429,6601,,,,True,,,,,,,reagent 25i nbome. 5gr
39,39,05-06-2020 09:32:04,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2759,207045,80550,7193,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
40,40,05-06-2020 09:32:04,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.098,66185,25749,2299,959.0,,,True,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
41,41,05-06-2020 09:32:04,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0194,13113,5102,456,190.0,,,True,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
42,42,05-06-2020 09:32:04,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.05,33748,13130,1172,489.0,,,True,,,,,,,💘✨5g. MDMA ✨💘
43,43,05-06-2020 09:32:04,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0204,13803,5370,480,200.0,,,True,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
44,44,05-06-2020 09:32:04,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.091,62114,24165,2158,900.0,,,True,,,,,,,10 gr mdma Kristally ochen silni import s evropi
45,45,05-06-2020 09:32:04,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0405,27606,10740,959,400.0,,,True,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
46,46,05-06-2020 09:32:04,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0708,48311,18795,1678,700.0,,,True,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
47,47,05-06-2020 09:32:04,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0425,28986,11277,1007,420.0,,,True,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
48,48,05-06-2020 09:32:04,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0809,55212,21480,1918,800.0,,,True,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,49,05-06-2020 09:32:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,нет,1,Тбилиси,10 гр,0.027000000000000003,18427,7169,640,267.0,,,True,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
50,50,05-06-2020 09:32:04,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2251,153559,59741,5335,2225.0,,,True,,,,,,,Amfetamin [White] [Import] 10G
51,51,05-06-2020 09:32:04,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1593,107595,41859,3738,1559.0,,,True,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
52,52,05-06-2020 09:32:04,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0825,55764,21695,1937,808.0,,,True,,,,,,,💘✨10gram MDMA ✨💘
53,53,05-06-2020 09:32:04,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0377,25467,9908,885,369.0,,,True,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
54,54,05-06-2020 09:32:04,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0357,24155,9398,839,350.0,,,True,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
55,55,05-06-2020 09:32:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.0516,35198,13694,1223,510.0,,,True,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
56,56,05-06-2020 09:32:04,Tbilisi,f8a875c191,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.5108,345076,134250,11989,5000.0,,,True,,,,,,,METADON - 20 G.
57,57,05-06-2020 09:32:04,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1379,103523,40275,3597,1500.0,,,True,,,,,,,✨💘20g MDMA💘✨
58,58,05-06-2020 09:32:04,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0612,41340,16083,1436,599.0,,,True,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,59,05-06-2020 09:32:04,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1314,89651,34878,3115,1299.0,,,True,,,,,,,50 gr georgian weed. Package on magnet
60,60,05-06-2020 09:32:04,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2528,172469,67098,5992,2499.0,,,True,,,,,,,100 gr georgian weed. Package on magnet
61,61,05-06-2020 09:32:04,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2428,165636,64440,5754,2400.0,,,True,,,,,,,100 gr marijuana buds
62,62,05-06-2020 09:32:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2023,138030,53700,4795,2000.0,,,True,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,63,05-06-2020 09:32:04,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2529,172538,67125,5994,2500.0,,,True,,,,,,,Marihuana [Shishki] [Gali] 100G
64,64,05-06-2020 09:32:04,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5968,407189,158415,14146,5900.0,,,True,,,,,,,180 gr marihuana persoalno
65,65,05-06-2020 09:32:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4653,317469,123510,11029,4600.0,,,True,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,66,05-06-2020 09:32:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7586,517613,201375,17983,7500.0,,,True,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,67,05-06-2020 09:32:04,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8598,586628,228225,20380,8500.0,,,True,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,05-06-2020 09:32:04,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0184,13803,5370,480,200.0,,,True,,,,,,,KURYER..500RUB.+BONUS
69,69,05-06-2020 09:32:47,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0202,13803,5370,480,200.0,,,True,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,70,05-06-2020 09:32:47,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0253,17254,6713,599,250.0,,,True,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,05-06-2020 09:32:47,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.531,1035227,402750,35966,15000.0,,,True,,,,,,,Vakansija optovogo kur'era na mef
72,72,05-06-2020 09:34:34,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,1,нет,Батуми,0.5 гр,0.0086,5866,2282,204,85.0,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
73,73,05-06-2020 09:34:34,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2225,151833,59070,5275,2200.0,,,,,,,,True,,[100g] SPAIN HASH
74,74,05-06-2020 09:34:34,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0416,28986,11277,1007,420.0,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
