,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,17-03-2020 08:11:01,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,2,нет,Тбилиси,0.25 гр,0.0149,6671,2511,213,90.0,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,1,17-03-2020 08:11:01,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,11,нет,Тбилиси,0.25 гр,0.0286,14084,5301,449,190.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,17-03-2020 08:11:01,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,10,10,Тбилиси,0.27 гр,0.0379,16827,6333,537,227.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
3,3,17-03-2020 08:11:01,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,4,нет,Тбилиси,0.5 гр,0.0182,8080,3041,258,109.0,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
4,4,17-03-2020 08:11:01,Tbilisi,99accec7c7,COCAINE VHQ!!! 0.5gr,,10,нет,Тбилиси,0.5 гр,0.0164,8080,3041,258,109.0,True,,,,,,,,,,COCAINE VHQ!!! 0.5gr
5,5,17-03-2020 08:11:01,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0157,7339,2762,234,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,6,17-03-2020 08:11:01,Tbilisi,99accec7c7,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))),,22,нет,Тбилиси,0.5 гр,0.0134,6597,2483,210,89.0,True,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!)))
7,7,17-03-2020 08:11:01,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.0165,7339,2762,234,99.0,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,8,17-03-2020 08:11:01,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0173,8080,3041,258,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,9,17-03-2020 08:11:01,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,3,нет,Тбилиси,0.5 гр,0.0041,1853,698,59,25.0,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
10,10,17-03-2020 08:11:01,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0083,3706,1395,118,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
11,11,17-03-2020 08:11:01,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,4,нет,Тбилиси,1 гр,0.0198,8895,3348,284,120.0,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
12,12,17-03-2020 08:11:01,Tbilisi,64284550d9,1G ---> ONLY BUDS,True,1,нет,Тбилиси,1 гр,0.0063,2891,1088,92,39.0,,,,,,,,,,,1G ---> ONLY BUDS
13,13,17-03-2020 08:11:01,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,1 гр,0.0141,6301,2372,201,85.0,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
14,14,17-03-2020 08:11:01,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,5,нет,Тбилиси,1 гр,0.0132,5930,2232,189,80.0,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
15,15,17-03-2020 08:11:01,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,5,нет,Тбилиси,1 гр,0.0076,3410,1283,109,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
16,16,17-03-2020 08:11:01,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,2,нет,Тбилиси,1 гр,0.0248,11119,4185,355,150.0,,,,,,,,,,,Apvp VHQ 1g 24/7
17,17,17-03-2020 08:11:01,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0284,13269,4994,423,179.0,,,,,,,,,,,Cocaine Pure VHQ 1g
18,18,17-03-2020 08:11:01,Tbilisi,99accec7c7,MDMA 1gr лучший товар на площадке!,,2,нет,Тбилиси,1 гр,0.0182,8154,3069,260,110.0,True,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
19,19,17-03-2020 08:11:01,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,5,нет,Тбилиси,1 гр,0.0827,40769,15345,1300,550.0,,,,,,,,,,,Metadon VHQ 1 24/7
20,20,17-03-2020 08:11:01,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,2,нет,Тбилиси,1 гр,0.0316,14010,5273,447,189.0,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
21,21,17-03-2020 08:11:01,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0316,14751,5552,470,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
22,22,17-03-2020 08:11:01,Tbilisi,99accec7c7,cocaine 1gr СУПЕР COCA!!!,,6,нет,Тбилиси,1 гр,0.0301,14825,5580,473,200.0,True,,,,,,,,,,cocaine 1gr SUPER COCA!!!
23,23,17-03-2020 08:11:01,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0309,14010,5273,447,189.0,,,,,,,,,,,Kokain HQ 1g.
24,24,17-03-2020 08:11:01,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1353,66714,25110,2127,900.0,,,,,,,,,,,Metadon 1gr
25,25,17-03-2020 08:11:01,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.003,1483,558,47,20.0,,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
26,26,17-03-2020 08:11:01,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,10,нет,Тбилиси,1 гр,0.0115,5115,1925,163,69.0,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
27,27,17-03-2020 08:11:01,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,16,нет,Тбилиси,2 гр,0.0135,6671,2511,213,90.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
28,28,17-03-2020 08:11:01,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0114,5115,1925,163,69.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
29,29,17-03-2020 08:11:01,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,2 гр,0.0601,26685,10044,851,360.0,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
