,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,€,Saburtalo,Old Tbilisi (Старый город),Дигоми,Didube,Vake,Батуми,Центр,Кутаиси,desc_en
21,21,14-07-2020 22:03:04,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,True,3,нет,Тбилиси,2 гр,0.0115,7824,3003,266,110.0,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
22,22,14-07-2020 22:03:04,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0125,8535,3276,290,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
23,23,14-07-2020 22:03:04,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,2 гр,0.0104,7113,2730,242,100.0,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
24,24,14-07-2020 22:03:04,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,True,2,нет,Тбилиси,2 гр,0.0104,7113,2730,242,100.0,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
25,25,14-07-2020 22:03:04,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,7,нет,Тбилиси,2 гр,0.0104,7824,3003,266,110.0,,,,,True,True,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
26,26,14-07-2020 22:03:04,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,3,нет,Тбилиси,2 гр,0.0125,8535,3276,290,120.0,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
27,27,14-07-2020 22:03:04,Tbilisi,e771f4c371,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE,,1,нет,Тбилиси,2.2 гр,0.0112,7611,2921,259,107.0,,,True,,,,,,,,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE
28,28,14-07-2020 22:03:04,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0123,9247,3549,314,130.0,,,,,,,,,,,3g. marihuana shishki Critical
29,29,14-07-2020 22:03:04,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,36,нет,Тбилиси,3 гр,0.0058,3912,1502,133,55.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
30,30,14-07-2020 22:03:04,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,5 гр,0.0272,18493,7098,629,260.0,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
31,31,14-07-2020 22:03:05,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,2,нет,Тбилиси,5 гр,0.0282,19204,7371,653,270.0,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
32,32,14-07-2020 22:03:05,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0185,13870,5324,472,195.0,,,,,,,,,,,5g. marihuana shishki Critical
33,33,14-07-2020 22:03:05,Tbilisi,f374062dcd,Гашиш Твердый 5гр,True,2,нет,Тбилиси,5 гр,0.018000000000000002,13514,5187,460,190.0,,,,,,,,,,,Gashish Tverdyj 5gr
34,34,14-07-2020 22:03:05,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,2,нет,Тбилиси,5 гр,0.0209,14226,5460,484,200.0,,,,,,,True,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
35,35,14-07-2020 22:04:21,Batumi,f8a875c191,METADON - 0.30 - SALE,,3,5,Батуми,0.3 гр,0.0317,21338,8190,726,300.0,,,,,,,,True,,,METADON - 0.30 - SALE
36,36,14-07-2020 22:04:21,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,11,нет,Батуми,2 гр,0.0044,2987,1147,102,42.0,,,,,,,,True,,,Melkie shishki (Indica) 2g
