,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Nadzaladevi,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
59,59,08-03-2020 21:31:14,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1105,67450,25105,2237,999.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
60,60,08-03-2020 21:31:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2305,135035,50260,4479,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
61,61,08-03-2020 21:31:14,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2328,135035,50260,4479,2000.0,,,,,,,,,,SUBOXIN - HQ - 100 G.
62,62,08-03-2020 21:31:14,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2882,168794,62825,5599,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,08-03-2020 21:31:14,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1746,101276,37695,3359,1500.0,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
64,64,08-03-2020 21:31:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5302,310581,115598,10302,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
65,65,08-03-2020 21:31:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8645,506381,188475,16797,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
66,66,08-03-2020 21:31:14,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9798,573899,213605,19037,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,08-03-2020 21:31:14,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.021,13504,5026,448,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
68,68,08-03-2020 21:31:14,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0157,10128,3770,336,150.0,,,,,,,,,,Rabota na marki (kur'er)
