,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Vake,Varketili,Батуми,Центр,desc_en
0,0,09-08-2020 23:30:02,Tbilisi,f374062dcd,Методон 0.1гр качество и вес просто пушка,True,1,нет,Тбилиси,0.1 гр,0.0082,7364,2786,245,100.0,,,,,,,,,,,,Metodon 0.1gr kachestvo i ves prosto pushka
1,1,09-08-2020 23:30:02,Tbilisi,52fe6d0af9,VHQ Methadon 0.12G Crystals imported,True,4,нет,Тбилиси,0.12 гр,0.0101,8689,3287,289,118.0,,,,,,,,,,,,VHQ Methadon 0.12G Crystals imported
2,2,09-08-2020 23:30:02,Tbilisi,52fe6d0af9,VHQ Methadon 0.25G Crystals imported,True,1,нет,Тбилиси,0.25 гр,0.0227,19514,7383,649,265.0,,,,,,,,,,,,VHQ Methadon 0.25G Crystals imported
3,3,09-08-2020 23:30:02,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,6,нет,Тбилиси,0.3 гр,0.0081,7216,2730,240,98.0,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
4,4,09-08-2020 23:30:02,Tbilisi,8ddca45a78,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,3,нет,Тбилиси,0.5 гр,0.0025,2136,808,71,29.0,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
5,5,09-08-2020 23:30:02,Tbilisi,16a8841259,0.5 Gram Northern-Light DOMINANT INDICA,,6,нет,Тбилиси,0.5 гр,0.0022,1915,724,64,26.0,True,,,,,,,,,,,0.5 Gram Northern-Light DOMINANT INDICA
6,6,09-08-2020 23:30:02,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,9,нет,Тбилиси,0.5 гр,0.0029,2430,919,81,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
7,7,09-08-2020 23:30:02,Tbilisi,21de5577be,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,1,нет,Тбилиси,0.5 гр,0.0027,2356,892,78,32.0,True,,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
8,8,09-08-2020 23:30:02,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),True,22,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
9,9,09-08-2020 23:30:02,Tbilisi,16a8841259,0.5Gramm 😬 WEEDSHOP TBILISI HIGH THC BUDS,,1,нет,Тбилиси,0.5 гр,0.0022,1915,724,64,26.0,True,,,,,,,,,,,0.5Gramm 😬 WEEDSHOP TBILISI HIGH THC BUDS
10,10,09-08-2020 23:30:02,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0026,2209,836,73,30.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
11,11,09-08-2020 23:30:02,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
