,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,.,Saburtalo,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,29-04-2020 11:55:04,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,2,нет,Тбилиси,0.5 гр,0.017,10067,3679,333,135.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,29-04-2020 11:55:04,Tbilisi,16a8841259,Ak - 47 0.6г,True,1,нет,Тбилиси,0.6 гр,0.0034,2051,749,68,,27.0,,,,,,,,,,Ak - 47 0.6g
2,2,29-04-2020 11:55:04,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,2,нет,Тбилиси,1 гр,0.006,3579,1308,118,48.0,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
3,3,29-04-2020 11:55:04,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,10,нет,Тбилиси,1 гр,0.0046,3057,1117,101,41.0,,,,,,,,,,,Hybrid Ana-sha 1G.
4,4,29-04-2020 11:55:04,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1017,67114,24525,2217,900.0,,,,,,,,,,,Metadon 1gr
5,5,29-04-2020 11:55:04,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0088,5220,1908,172,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
6,6,29-04-2020 11:55:04,Tbilisi,2f51af8159,Weed Hybrid Somango 2 G,,2,нет,Тбилиси,2 гр,0.006999999999999999,4176,1526,138,56.0,,True,,,,,,,,,Weed Hybrid Somango 2 G
7,7,29-04-2020 11:55:04,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0132,7830,2861,259,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
8,8,29-04-2020 11:55:04,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,2,нет,Тбилиси,3 гр,0.0124,7457,2725,246,100.0,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
9,9,29-04-2020 11:55:04,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds HQ ❤,,1,нет,Тбилиси,4 гр,0.0174,10440,3815,345,140.0,,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds HQ ❤
10,10,29-04-2020 11:55:04,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0369,22371,8175,739,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
11,11,29-04-2020 11:55:04,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,True,2,нет,Тбилиси,5 гр,0.022000000000000002,13050,4769,431,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
12,12,29-04-2020 11:55:04,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,True,4,нет,Тбилиси,5 гр,0.0199,11931,4360,394,160.0,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
13,13,29-04-2020 11:55:04,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,10,нет,Тбилиси,10 гр,0.026000000000000002,15585,5695,515,209.0,,True,True,True,,,,,,,10 gr marijuana buds. -indica-
14,14,29-04-2020 11:55:04,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,2,нет,Тбилиси,10 гр,0.0373,22371,8175,739,300.0,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
15,15,29-04-2020 11:55:04,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0477,29828,10900,985,400.0,,,,,,,,,,,gashish evro 10g
16,16,29-04-2020 11:55:04,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,6,нет,Тбилиси,20 гр,0.0504,30201,11036,998,405.0,,True,True,,,,,,,,20 gr Indica marijuana buds (hight quality)
17,17,29-04-2020 11:55:04,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2261,149141,54500,4926,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
18,18,29-04-2020 11:55:04,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",True,нет,2,Тбилиси,0.7 гр,0.0131,7830,2861,259,105.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
19,19,29-04-2020 11:55:04,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0168,10067,3679,333,135.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
20,20,29-04-2020 11:55:04,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0404,26656,9768,874,,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
21,21,29-04-2020 11:55:04,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,8,Тбилиси,2 гр,0.0463,27517,10055,909,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
22,22,29-04-2020 11:55:04,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 2.5 грамм",True,нет,1,Тбилиси,2.5 гр,0.027999999999999997,16778,6131,554,225.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 2.5 gramm"
23,23,29-04-2020 11:55:04,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0727,43176,15778,1426,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,24,29-04-2020 11:55:04,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0497,29828,10900,985,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,25,29-04-2020 11:55:04,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0684,41014,14988,1355,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
26,26,29-04-2020 11:55:04,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,4,Тбилиси,5 гр,0.0211,12677,4633,419,170.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
27,27,29-04-2020 11:55:04,Tbilisi,8ddca45a78,5g WEED MIX / выбери свои сорта,True,нет,3,Тбилиси,5 гр,0.0271,16256,5941,537,218.0,,,,,,,,,,,5g WEED MIX / vyberi svoi sorta
28,28,29-04-2020 11:55:04,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0247,14840,5423,490,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
29,29,29-04-2020 11:55:04,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0247,14840,5423,490,199.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
30,30,29-04-2020 11:55:04,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0248,16331,5968,539,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
31,31,29-04-2020 11:55:04,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0247,14840,5423,490,199.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
32,32,29-04-2020 11:55:04,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.28800000000000003,190000,87429,6265,,,,,,,,,,,,reagent 25i nbome. 5gr
33,33,29-04-2020 11:55:04,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3391,223712,81750,7389,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
34,34,29-04-2020 11:55:54,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1208,71513,26133,2362,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
