,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,Saburtalo,Old Tbilisi (Старый город),€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,06-04-2020 22:22:43,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,1,нет,Тбилиси,0.2 гр,0.0043,2674,959,90,35.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,1,06-04-2020 22:22:43,Tbilisi,54915c4374,MDMA 0.4 грам.,,4,нет,Тбилиси,0.4 гр,0.0079,4966,1781,167,65.0,True,,,,,,,,,MDMA 0.4 gram.
2,2,06-04-2020 22:22:43,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,,7,нет,Тбилиси,0.5 гр,0.0101,5731,2055,193,75.0,True,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
3,3,06-04-2020 22:22:43,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,,7,нет,Тбилиси,0.5 гр,0.0074,4202,1507,141,55.0,True,,,,,,,,,MEPHEDRONE 0.5 gr
4,4,06-04-2020 22:22:43,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.0148,8328,2987,280,109.0,True,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
5,5,06-04-2020 22:22:43,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",,1,нет,Тбилиси,0.6 гр,0.011000000000000001,6877,2466,232,90.0,True,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
6,6,06-04-2020 22:22:43,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,7,нет,Тбилиси,1 гр,0.0059,3362,1206,113,44.0,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
7,7,06-04-2020 22:22:43,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,13,нет,Тбилиси,1 гр,0.0073,4584,1644,154,60.0,True,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
8,8,06-04-2020 22:22:43,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,2,нет,Тбилиси,1 гр,0.0067,3820,1370,129,50.0,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,9,06-04-2020 22:22:43,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,1,нет,Тбилиси,1 гр,0.0052,2980,1069,100,39.0,True,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
10,10,06-04-2020 22:22:43,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,8,нет,Тбилиси,1 гр,0.0052,2980,1069,100,39.0,True,True,,,,,,,,1 gr Shishki “OG KUSH VHQ”
11,11,06-04-2020 22:22:43,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0807,45844,16440,1543,600.0,,,True,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
12,12,06-04-2020 22:22:43,Tbilisi,28bf667d16,MDMA Champagne - DutchMasters 1g,,2,нет,Тбилиси,1 гр,0.0148,8405,3014,283,110.0,True,,,,,,,,,MDMA Champagne - DutchMasters 1g
13,13,06-04-2020 22:22:43,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,4,нет,Тбилиси,1 гр,0.0941,53485,19180,1801,700.0,,,True,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
14,14,06-04-2020 22:22:43,Tbilisi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,2,нет,Тбилиси,1 гр,0.0136,7717,2767,260,101.0,,,True,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
15,15,06-04-2020 22:22:43,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.11,68767,24660,2315,900.0,True,,,,,,,,,Metadon 1gr
16,16,06-04-2020 22:22:43,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,9,нет,Тбилиси,1 гр,0.0024,1528,548,51,20.0,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
17,17,06-04-2020 22:22:43,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0101,5731,2055,193,75.0,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
18,18,06-04-2020 22:22:43,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,2 гр,0.0093,5272,1891,177,69.0,True,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,19,06-04-2020 22:22:43,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,1,нет,Тбилиси,2 гр,0.0093,5272,1891,177,69.0,True,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
20,20,06-04-2020 22:22:43,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,4,нет,Тбилиси,2 гр,0.0093,5272,1891,177,69.0,True,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
21,21,06-04-2020 22:22:43,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,,2,нет,Тбилиси,2 гр,0.0063,3591,1288,121,47.0,True,,,,,,,,,2gr Indica dominant Buds
22,22,06-04-2020 22:22:43,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,2 гр,0.0095,5349,1918,180,70.0,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
23,23,06-04-2020 22:22:43,Tbilisi,28bf667d16,LSD Hoffman 300UG 2 piece,,1,нет,Тбилиси,2 гр,0.0148,8405,3014,283,110.0,True,,,,,,,,,LSD Hoffman 300UG 2 piece
24,24,06-04-2020 22:22:43,Tbilisi,ae784bef73,New ! Big Buds ! 2G,,3,нет,Тбилиси,2 гр,0.0078,4890,1754,165,64.0,True,,,,,,,,,New ! Big Buds ! 2G
25,25,06-04-2020 22:22:43,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,,3,нет,Тбилиси,2 гр,0.0043,2674,959,90,35.0,True,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
26,26,06-04-2020 22:22:43,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,2,нет,Тбилиси,2 гр,0.0043,2674,959,90,35.0,True,,True,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
27,27,06-04-2020 22:22:43,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩,,2,нет,Тбилиси,2 гр,0.0121,6800,2439,229,89.0,True,,,,,,,,,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩
28,28,06-04-2020 22:22:43,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0148,8328,2987,280,109.0,True,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
29,29,06-04-2020 22:22:43,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0413,24450,8768,823,320.0,True,,,,,,,,,"5 Grm MDMA , Purity A +++"
30,30,06-04-2020 22:22:43,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.0399,22922,8220,772,300.0,True,,,,,,,,,5 Grm Mdma Pure Quality A +++
31,31,06-04-2020 22:22:43,Tbilisi,64284550d9,5G ---> ONLY BUDS,,5,нет,Тбилиси,5 гр,0.0128,7259,2603,244,95.0,,,True,,,,,,,5G ---> ONLY BUDS
32,32,06-04-2020 22:22:43,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),,1,нет,Тбилиси,5 гр,0.018000000000000002,10239,3672,345,134.0,True,,,,,,,,,5gr marijuana buds -indica- (hight quality)
33,33,06-04-2020 22:22:43,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0238,13371,4795,450,175.0,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
34,34,06-04-2020 22:23:30,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,True,1,нет,Тбилиси,5 гр,0.0092,5731,2055,193,75.0,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
35,35,06-04-2020 22:23:30,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0067,4202,1507,141,55.0,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
36,36,06-04-2020 22:23:30,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0537,30487,10933,1026,399.0,,,True,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
37,37,06-04-2020 22:23:30,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0491,27889,10001,939,365.0,,True,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
38,38,06-04-2020 22:23:30,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,1,3,Тбилиси,10 гр,0.0132,8263,2960,278,,True,,,True,100.0,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
39,39,06-04-2020 22:23:30,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0516,30563,10960,1029,400.0,True,,,,,,,,,gashish evro 10g
40,40,06-04-2020 22:23:30,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1003,59369,21290,1999,777.0,True,,,,,,,,,Gashish Evro 20gr
41,41,06-04-2020 22:23:30,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2445,152815,54800,5144,2000.0,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
42,42,06-04-2020 22:23:30,Tbilisi,f8a875c191,METADON - 0.25 G.,,3,15,Тбилиси,0.25 гр,0.0231,12989,4658,437,170.0,True,,,,,,,,,METADON - 0.25 G.
43,43,06-04-2020 22:23:30,Tbilisi,54915c4374,MDMA 1 гр,,нет,2,Тбилиси,1 гр,0.0132,8263,2960,278,,True,,,,100.0,,,,,MDMA 1 gr
