,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,20-02-2020 00:13:52,Tbilisi,61df6a1c90,Метадон 0.15гр,True,4,нет,Тбилиси,0.15 гр,0.0114,8279,3186,286,130.0,,,,,,,,,,,Metadon 0.15gr
1,1,20-02-2020 00:13:52,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,7,нет,Тбилиси,0.25 гр,0.0158,11464,4412,397,180.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,20-02-2020 00:13:52,Tbilisi,32e645c201,"methadone 0,29 gr",,2,нет,Тбилиси,0.29 гр,0.0203,13374,5147,463,210.0,True,,,,,,,,,,"methadone 0,29 gr"
3,3,20-02-2020 00:13:52,Tbilisi,61df6a1c90,Метадон 0.30гр,True,2,нет,Тбилиси,0.3 гр,0.0157,12101,4657,419,190.0,,,,,,,,,,,Metadon 0.30gr
4,4,20-02-2020 00:13:52,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,6,нет,Тбилиси,0.5 гр,0.0067,4394,1691,152,69.0,,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
5,5,20-02-2020 00:13:52,Tbilisi,8ddca45a78,"0,5g BLUE CHEESE Indica THC 18% / BTC -10% sale",True,3,нет,Тбилиси,0.5 гр,0.0022,1592,613,55,25.0,,,,,,,,,,,"0,5g BLUE CHEESE Indica THC 18% / BTC -10% sale"
6,6,20-02-2020 00:13:52,Tbilisi,8ddca45a78,"0,5g PURPLE HAZE Sativa THC 19% / BTC -10% sale",True,3,нет,Тбилиси,0.5 гр,0.0022,1592,613,55,25.0,,,,,,,,,,,"0,5g PURPLE HAZE Sativa THC 19% / BTC -10% sale"
7,7,20-02-2020 00:13:52,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,1,нет,Тбилиси,0.5 гр,0.0028,1847,711,64,29.0,,True,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
8,8,20-02-2020 00:13:52,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,2,нет,Тбилиси,0.5 гр,0.0107,7006,2696,242,110.0,,,,,,,,,,,"Cocaine, 0.5 g"
9,9,20-02-2020 00:13:52,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0058,3821,1471,132,60.0,,,,,,,,,,,Ketamine 0.5g
10,10,20-02-2020 00:13:52,Tbilisi,ae784bef73,MDMA Кристаллы HQ 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0058,3821,1471,132,60.0,,,,,,,,,,,MDMA Kristally HQ 0.5G
11,11,20-02-2020 00:13:52,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0254,18469,7108,639,290.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
12,12,20-02-2020 00:13:52,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0096,6305,2426,218,99.0,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
13,13,20-02-2020 00:13:52,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,4,нет,Тбилиси,0.5 гр,0.0027,1783,686,62,28.0,,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
14,14,20-02-2020 00:13:52,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,7,нет,Тбилиси,0.5 гр,0.0101,6942,2672,240,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
15,15,20-02-2020 00:13:52,Tbilisi,edfbad0151,THC Snow Buds Only 0.5 G (THC 23+%),True,1,нет,Тбилиси,0.5 гр,0.0029,1911,735,66,30.0,,,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
