,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,20-07-2020 23:55:45,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0115,7772,3000,259,108.0,,,,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
1,1,20-07-2020 23:55:45,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭,,4,нет,Тбилиси,0.5 гр,0.0069,4678,1806,156,65.0,True,True,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭
2,2,20-07-2020 23:55:45,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,1 гр,0.0064,4318,1667,144,60.0,True,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
3,3,20-07-2020 23:55:45,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,1 гр,0.0063,4246,1639,142,59.0,True,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,4,20-07-2020 23:55:45,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,2,нет,Тбилиси,1 гр,0.0057,3814,1472,127,53.0,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
5,5,20-07-2020 23:55:45,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,3,нет,Тбилиси,1 гр,0.0064,4318,1667,144,60.0,True,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
6,6,20-07-2020 23:55:45,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,6,нет,Тбилиси,2 гр,0.0128,8636,3334,288,120.0,True,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
7,7,20-07-2020 23:55:45,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,3,нет,Тбилиси,2 гр,0.0117,7916,3056,264,110.0,True,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
8,8,20-07-2020 23:55:45,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,4,нет,Тбилиси,3 гр,0.0059,3958,1528,132,55.0,True,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
9,9,20-07-2020 23:55:45,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,True,3,нет,Тбилиси,3 гр,0.0139,9355,3611,312,130.0,,,,,,,,,,,Badazz Kush 3G VHQ 25% THC
